Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.095833,-0.01388,-0.000937,0.00354,0.999897,0.604924,-1.081791,0.00887,-0.0272,0.006212,-0.106963,0.993871,0.602712,-1.416058,0.005202,0.009229,0.006326,0.001698,-0.999936,0.606658,-1.248945,0.927646,stand
24,0.1,-0.013829,-0.000927,0.00355,0.999898,0.604929,-1.081791,0.008867,-0.027193,0.006235,-0.106989,0.993869,0.602714,-1.416057,0.005206,0.009233,0.006319,0.001619,-0.999936,0.606631,-1.248958,0.92765,stand
25,0.104167,-0.013885,-0.000921,0.003527,0.999897,0.604928,-1.081795,0.008869,-0.027214,0.006259,-0.106964,0.993871,0.602713,-1.416058,0.005209,0.009208,0.006319,0.001684,-0.999936,0.606649,-1.248957,0.927648,stand
26,0.108333,-0.013802,-0.000926,0.003528,0.999898,0.604924,-1.081795,0.008867,-0.027217,0.006226,-0.106971,0.99387,0.602711,-1.416056,0.005205,0.009201,0.006341,0.001661,-0.999936,0.606642,-1.248963,0.927654,stand
27,0.1125,-0.013804,-0.000942,0.003549,0.999898,0.604923,-1.081795,0.008869,-0.02721,0.006247,-0.106967,0.993871,0.602714,-1.416054,0.005206,0.009164,0.006332,0.001642,-0.999937,0.606639,-1.248972,0.927646,stand
28,0.116667,-0.013775,-0.00091,0.00353,0.999899,0.60492,-1.081793,0.008867,-0.027247,0.006258,-0.106954,0.993871,0.602711,-1.416055,0.005208,0.009193,0.006319,0.001619,-0.999936,0.60664,-1.248974,0.92765,stand
29,0.120833,-0.013839,-0.000924,0.003575,0.999897,0.604927,-1.081797,0.008871,-0.027228,0.00625,-0.106979,0.993869,0.602712,-1.416055,0.005208,0.009184,0.006335,0.001629,-0.999936,0.606628,-1.248983,0.92765,stand
30,0.125,-0.013821,-0.000893,0.003573,0.999898,0.604927,-1.081788,0.008871,-0.027224,0.006232,-0.10697,0.99387,0.602713,-1.416055,0.005204,0.009218,0.006316,0.001617,-0.999936,0.606622,-1.248987,0.927647,stand
31,0.129167,-0.013836,-0.000923,0.003543,0.999898,0.604927,-1.081793,0.00887,-0.027175,0.006215,-0.10696,0.993872,0.602713,-1.416056,0.005205,0.009203,0.006303,0.001612,-0.999936,0.606626,-1.248988,0.927646,stand
32,0.133333,-0.013839,-0.00093,0.003526,0.999898,0.604924,-1.081797,0.008871,-0.027203,0.006235,-0.106967,0.993871,0.602707,-1.416053,0.005208,0.009205,0.006303,0.001572,-0.999937,0.606623,-1.248994,0.927647,stand
33,0.1375,-0.013839,-0.00095,0.003566,0.999897,0.604927,-1.081795,0.008878,-0.027208,0.006275,-0.10693,0.993874,0.60272,-1.416059,0.005219,0.009198,0.006297,0.001586,-0.999937,0.606623,-1.248997,0.927643,stand
34,0.141667,-0.013826,-0.000914,0.003545,0.999898,0.604918,-1.08179,0.008871,-0.027266,0.006274,-0.106966,0.993869,0.602706,-1.416056,0.00521,0.009211,0.006312,0.001558,-0.999936,0.606624,-1.248999,0.927641,stand
35,0.145833,-0.013859,-0.000956,0.003543,0.999897,0.60492,-1.081789,0.008873,-0.027287,0.006289,-0.106981,0.993867,0.602708,-1.416054,0.005216,0.009196,0.006311,0.001533,-0.999937,0.606628,-1.249007,0.927644,stand
