Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.095833,-0.019641,-0.007868,0.068899,0.997399,-0.054898,0.142067,0.031469,-0.013353,0.005002,-0.155045,0.987805,-0.048127,-0.201141,0.027231,0.012829,-0.021534,6.7e-05,-0.999686,-0.055091,-0.025853,0.954018,stand
24,0.1,-0.019359,-0.007781,0.068464,0.997435,-0.054882,0.142007,0.031463,-0.0135,0.005038,-0.15622,0.987617,-0.04824,-0.201353,0.027243,0.012881,-0.021711,-1e-05,-0.999681,-0.055303,-0.02594,0.953959,stand
25,0.104167,-0.019066,-0.007303,0.067995,0.997477,-0.054797,0.14191,0.031389,-0.013579,0.005111,-0.157215,0.987458,-0.04836,-0.201546,0.027243,0.012991,-0.02181,-0.000135,-0.999678,-0.055514,-0.026046,0.953934,stand
26,0.108333,-0.018937,-0.00704,0.067621,0.997507,-0.054736,0.141853,0.03133,-0.013613,0.005092,-0.158107,0.987315,-0.048475,-0.201715,0.027262,0.013188,-0.02182,-0.000171,-0.999675,-0.055699,-0.026147,0.953925,stand
27,0.1125,-0.018932,-0.007012,0.067471,0.997517,-0.054725,0.141844,0.031307,-0.013679,0.005082,-0.159025,0.987167,-0.048574,-0.201886,0.02727,0.013264,-0.021734,-0.000167,-0.999676,-0.055896,-0.026245,0.953896,stand
28,0.116667,-0.018778,-0.006918,0.067288,0.997533,-0.054741,0.141832,0.031289,-0.013648,0.005163,-0.15998,0.987012,-0.048657,-0.202037,0.027263,0.01336,-0.021746,-0.000187,-0.999674,-0.056114,-0.026358,0.953883,stand
29,0.120833,-0.018638,-0.006845,0.06692,0.997561,-0.054742,0.141807,0.031263,-0.013858,0.005223,-0.16086,0.986866,-0.048732,-0.202183,0.027263,0.013452,-0.021727,-0.000132,-0.999673,-0.056292,-0.026464,0.953873,stand
30,0.125,-0.018451,-0.006754,0.066582,0.997588,-0.054735,0.141771,0.031247,-0.013957,0.005301,-0.161726,0.986723,-0.048787,-0.202317,0.027267,0.013548,-0.02169,-0.000128,-0.999673,-0.056475,-0.026584,0.95386,stand
31,0.129167,-0.01842,-0.006704,0.066122,0.997619,-0.054724,0.141719,0.031244,-0.013995,0.005374,-0.162637,0.986572,-0.048829,-0.202431,0.027262,0.013575,-0.021529,-0.000162,-0.999676,-0.056626,-0.026716,0.953814,stand
32,0.133333,-0.01833,-0.006654,0.065783,0.997643,-0.054712,0.141678,0.031233,-0.014091,0.005487,-0.163497,0.986428,-0.048818,-0.202565,0.027269,0.013712,-0.021495,-7.1e-05,-0.999675,-0.05678,-0.026837,0.953789,stand
33,0.1375,-0.018342,-0.006668,0.065416,0.997667,-0.054703,0.141645,0.031223,-0.014439,0.005651,-0.164282,0.986292,-0.048849,-0.202662,0.027285,0.013771,-0.021457,4.9e-05,-0.999675,-0.056929,-0.026967,0.953769,stand
34,0.141667,-0.018343,-0.006646,0.065096,0.997688,-0.054706,0.141627,0.031202,-0.014647,0.005741,-0.164734,0.986213,-0.048893,-0.20273,0.02726,0.013789,-0.021314,0.000131,-0.999678,-0.057055,-0.027098,0.953743,stand
35,0.145833,-0.018431,-0.006582,0.06477,0.997708,-0.054709,0.141618,0.031187,-0.014627,0.00561,-0.16493,0.986181,-0.048942,-0.202776,0.027253,0.013876,-0.021249,0.000189,-0.999678,-0.057172,-0.027245,0.953736,stand
36,0.15,-0.018751,-0.006713,0.064428,0.997724,-0.054697,0.141599,0.031179,-0.01456,0.005573,-0.164928,0.986182,-0.048974,-0.2028,0.027254,0.013969,-0.021215,0.000216,-0.999677,-0.05729,-0.027396,0.953722,stand
37,0.154167,-0.018825,-0.006737,0.064174,0.997738,-0.054708,0.141585,0.031173,-0.014522,0.005562,-0.164787,0.986207,-0.048968,-0.202777,0.027261,0.014107,-0.021109,0.000331,-0.999678,-0.057387,-0.02753,0.953674,stand
38,0.158333,-0.019013,-0.006837,0.063935,0.99775,-0.054714,0.141568,0.031175,-0.014751,0.00574,-0.164614,0.986231,-0.048946,-0.202738,0.027257,0.014328,-0.021074,0.00043,-0.999675,-0.057489,-0.027682,0.953659,stand
39,0.1625,-0.019124,-0.006928,0.063657,0.997765,-0.054685,0.141532,0.031185,-0.015005,0.005727,-0.164578,0.986233,-0.048922,-0.202719,0.027263,0.014357,-0.021163,0.000398,-0.999673,-0.057603,-0.02787,0.953667,stand
40,0.166667,-0.019283,-0.007022,0.063388,0.997778,-0.054697,0.14153,0.031183,-0.015037,0.005618,-0.164552,0.986238,-0.048907,-0.202724,0.027254,0.014503,-0.021057,0.000421,-0.999673,-0.057678,-0.028025,0.953634,stand
41,0.170833,-0.019394,-0.007024,0.063217,0.997787,-0.054709,0.141536,0.031172,-0.014975,0.005583,-0.164453,0.986255,-0.04891,-0.202727,0.027241,0.014658,-0.021045,0.000435,-0.999671,-0.057757,-0.028181,0.953613,stand
42,0.175,-0.019776,-0.007183,0.06304,0.997789,-0.054713,0.141542,0.031174,-0.014902,0.005676,-0.164229,0.986293,-0.048914,-0.202722,0.027243,0.014812,-0.020939,0.000377,-0.999671,-0.057839,-0.02833,0.953576,stand
