frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.004167,stand,-0.049403,-0.024097,0.954309,0.010848,-0.013494,0.005518,-0.06263498920086497,-0.009599232061435528,-0.0011999040076872466,-0.11043400511565382,0.18277905347970805,0.06575262599301701,-0.027117830573554595,0.12838972882168945,0.0011999040076789206,-0.003839692824574544,-0.005759539236860151,0.0031197504199661926,-0.0014879999999999963,0.155633,-0.9229769999999999,0.003967999999999999,-0.170474,-0.9268649999999999,0.005455999999999996,0.326107,0.0038880000000000026,0.7424069779092131,0.9873455787380567,double,-0.9229769999999999
2,0.008333,stand,-0.049653,-0.024122,0.954302,0.01099,-0.01388,0.005402,-0.06000960153624585,-0.0060009601536247514,-0.0016802688430099001,-0.066416874115896,0.1862981457073875,0.05457346374759196,-0.042486797887662874,0.1437830052808488,0.00048007681229044646,-0.007441190590493592,-0.004560729716759242,0.005040806529044691,-0.0014149999999999996,0.156257,-0.922968,0.004187000000000003,-0.170468,-0.926837,0.005602000000000003,0.32672500000000004,0.0038690000000000113,0.7114271881545415,0.9832020749118099,double,-0.922968
3,0.0125,stand,-0.049913,-0.024179,0.954334,0.01107,-0.014373,0.005184,-0.06239500839932717,-0.013678905687544521,0.007679385649155747,-0.03569676142786428,0.23798449399056976,0.1025280422658961,-0.0475161987041029,0.1567074634029246,0.0026397888168939575,-0.015598752099832625,-0.015838732901363745,0.0023998080153586733,-0.001353,0.156967,-0.9229890000000001,0.004381999999999997,-0.170477,-0.926859,0.005734999999999997,0.32744399999999996,0.003869999999999929,0.6883430095414678,0.9627342275933415,double,-0.9229890000000001
4,0.016667,stand,-0.050285,-0.02418,0.954258,0.012102,-0.015004,0.004694,-0.08927285817134731,-0.0002399808015361171,-0.018238540916718258,-0.49038311078247,0.30810426712657574,0.23885878081563844,-0.041756659467242746,0.15382769378449787,0.0,-0.02615790736741012,-0.03935685145188324,-0.004559635229181229,-0.0011549999999999963,0.157609,-0.9229130000000001,0.004645000000000003,-0.17064,-0.926802,0.0058,0.328249,0.0038889999999999203,0.695452649761219,0.9208730249066799,double,-0.9229130000000001
5,0.020833,stand,-0.050547,-0.024238,0.954271,0.01226,-0.015504,0.004482,-0.06289006240998521,-0.013922227556408793,0.0031204992798679154,-0.07322986789972039,0.2416364466462284,0.09997132929201943,-0.04512722035525701,0.15074411905905366,-0.008161305808929263,-0.03912626020163309,-0.07657225156025294,-0.004080652904464631,-0.0010809999999999986,0.15829500000000002,-0.92296,0.004743999999999998,-0.170901,-0.926832,0.005824999999999997,0.32919600000000004,0.0038719999999999866,0.6986709625381565,0.8565230789513203,double,-0.92296
6,0.025,stand,-0.050777,-0.024293,0.954282,0.012342,-0.015964,0.004334,-0.05519558435325198,-0.013198944084473118,0.0026397888168906273,-0.03730498172980415,0.22184380423571104,0.0689059175598334,-0.06863450923926122,0.1720662347012228,0.012958963282937002,-0.040796736261098275,-0.0998320134389248,-0.011999040076794198,-0.0011369999999999991,0.15906700000000001,-0.922917,0.004804000000000003,-0.171262,-0.926893,0.005941000000000002,0.330329,0.0039759999999999796,0.6507358279219495,0.8191472240898094,double,-0.922917
7,0.029167,stand,-0.05104,-0.02436,0.954291,0.012429,-0.016511,0.004159,-0.06311495080393557,-0.01607871370290404,0.0021598272138317167,-0.03932235923434761,0.26376960989070214,0.08138300215357587,-0.05879529637628879,0.16582673386129054,-0.0007199424046066867,-0.03959683225341939,-0.12982961363090625,-0.015598752099831805,-0.001118999999999995,0.159825,-0.922929,0.004902000000000004,-0.171736,-0.926967,0.006020999999999999,0.331561,0.004037999999999986,0.6663818011461176,0.7722882013552619,double,-0.922929
8,0.033333,stand,-0.051318,-0.024419,0.954299,0.012506,-0.016981,0.003922,-0.06673067690830539,-0.014162265962554004,0.0019203072491617847,-0.034188421487701896,0.22721725273748994,0.11154285591772568,-0.06577052328372616,0.17018722995678995,0.0009601536245792267,-0.019683149303888304,-0.1385021603456538,0.00048007681228961336,-0.001114999999999998,0.16059299999999999,-0.922933,0.005098000000000005,-0.172254,-0.926973,0.006213000000000003,0.332847,0.0040400000000000436,0.6555058220241847,0.7668422966895698,double,-0.922933
9,0.0375,stand,-0.051559,-0.024491,0.954296,0.012606,-0.017428,0.00365,-0.05783537317014599,-0.01727861771058296,-0.0007199424046016911,-0.044974838666868744,0.21637957421497797,0.12863641270721193,-0.066714662826974,0.17014638828894066,-0.002879769618430077,-0.029517638588914118,-0.12886969042476842,0.007439404847612143,-0.0011520000000000002,0.16137400000000002,-0.922942,0.005215999999999998,-0.172719,-0.9269390000000001,0.006367999999999999,0.334093,0.003997000000000028,0.6553948231219704,0.7793064414515,double,-0.922942
10,0.041667,stand,-0.051817,-0.02457,0.954307,0.012749,-0.017797,0.003391,-0.06191504679625655,-0.01895848332133492,0.002639788816890625,-0.06584758938694578,0.17893973246038836,0.1232317244316727,-0.05663546916246697,0.16078713702903846,-0.0028797696184300722,-0.03431725461962975,-0.11999040076793856,0.003119750419966189,-0.001129999999999999,0.16212300000000002,-0.922965,0.005331000000000002,-0.17314,-0.926937,0.0064610000000000015,0.335263,0.0039719999999999756,0.6761225080938449,0.7919328161135214,double,-0.922965
