frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
31,0.129167,walk,-1.173615,-0.736436,0.930865,0.001346,0.002237,0.174083,0.006479481641468495,0.043196544276474395,0.010319174466046365,-0.054082503548926,0.17325140156821806,-0.025980269852076705,0.0,-0.0009599232061444676,0.0021598272138229706,-0.0014398848092033799,-0.002879769618433403,-0.00263978881689458,-0.03680299999999992,0.14820100000000003,-0.922178,0.045402000000000164,-0.14125200000000004,-0.9248890000000001,0.08220500000000008,0.28945300000000007,0.002711000000000019,0.9689507720175194,0.9930608145056842,double,-0.922178
32,0.133333,walk,-1.173628,-0.736269,0.9309,0.00138,0.002422,0.173987,-0.003120499279841263,0.04008641382621894,0.008401344215049495,0.0004988519073700165,0.09034413808095587,-0.046637647340396104,0.00024003840612523588,0.002400384061438906,0.0,0.008401344215076146,-0.0036005760921716838,0.002640422467594747,-0.03678900000000018,0.14804399999999995,-0.922213,0.04544999999999999,-0.14143400000000006,-0.924913,0.08223900000000017,0.289478,0.0027000000000000357,0.9689794064566061,0.9841431259540669,double,-0.922213
33,0.1375,walk,-1.173637,-0.736094,0.930917,0.001429,0.00266,0.173909,-0.002159827213858356,0.04199664026876051,0.004079673626120648,0.003185358645876731,0.11661656637550222,-0.03785078463048185,-0.00047996160303226897,0.0011999040076872453,0.0021598272138229706,-0.005759539236866806,-0.004319654427636783,-0.0011999040076793356,-0.03678199999999987,0.14787400000000006,-0.922221,0.045435000000000114,-0.14162699999999995,-0.924935,0.08221699999999998,0.289501,0.002713999999999994,0.9686651001993096,0.9878354481035566,double,-0.922221
34,0.141667,walk,-1.173663,-0.7359,0.93093,0.001558,0.002882,0.17375,-0.006239500839899116,0.04655627549796702,0.003119750419976201,0.04221952082460624,0.11576952948930373,-0.07741678938482835,0.004319654427610168,0.0023998080153478634,0.0011999040076793436,0.007439404847586369,-0.004079673626120675,-0.003599712023038239,-0.03673800000000016,0.14769,-0.9222290000000001,0.045491999999999866,-0.14183800000000002,-0.924963,0.08223000000000003,0.289528,0.002733999999999903,0.9641848299734943,0.9846389373892983,double,-0.9222290000000001
35,0.145833,walk,-1.173702,-0.73568,0.930942,0.001522,0.003129,0.173535,-0.009361497839683687,0.05280844935189578,0.002880460873742677,-0.03794877659328958,0.11388002060769264,-0.10458111593054203,0.0007201152184290069,0.0,0.001680268843014896,0.0026404224675907915,-0.005280844935181583,-0.002640422467594747,-0.03669600000000006,0.14747,-0.922234,0.04554199999999997,-0.14207999999999998,-0.9249860000000001,0.08223800000000003,0.28955,0.0027520000000000877,0.9694332032701816,0.9892205204150342,double,-0.922234
36,0.15,walk,-1.173744,-0.735489,0.930959,0.001598,0.003308,0.173454,-0.010079193664476944,0.045836333093365024,0.004079673626094005,0.02088334937598847,0.09097880674808395,-0.03935295292479304,-0.00023998080151613449,0.0007199424046016899,0.0021598272138229706,0.0019198464122889352,-0.002639788816890625,-0.001679865610751153,-0.036655000000000104,0.1472819999999999,-0.922242,0.045591999999999855,-0.14228200000000002,-0.92501,0.08224699999999996,0.28956399999999993,0.0027679999999999927,0.9685045484304642,0.9938816660504077,double,-0.922242
37,0.154167,walk,-1.173775,-0.735279,0.93095,0.001563,0.003528,0.173339,-0.007439404847639606,0.05039596832251794,-0.0021598272138050696,-0.035057101002137304,0.10113289011227976,-0.05579925175244249,0.0031197504199761807,0.0021598272138317128,0.0002399808015357006,-0.0007199424046016899,-0.0035997120230350926,0.0009599232061434269,-0.03661099999999995,0.14708100000000002,-0.922232,0.045619999999999994,-0.14250699999999994,-0.9249970000000001,0.08223099999999994,0.28958799999999996,0.0027650000000000174,0.9660133151276662,0.9936759506036217,double,-0.922232
38,0.158333,walk,-1.173815,-0.735066,0.930993,0.001685,0.003818,0.173199,-0.009601536245808923,0.05112818050888588,0.01032165146421128,0.0332952998941697,0.14733216018086379,-0.06809582304140864,0.0026404224675907915,-0.0002400384061518855,-0.00048007681229002974,-0.00024003840612523588,-0.0043206913106273405,-0.0007201152184348364,-0.036559999999999926,0.14686699999999997,-0.922277,0.045659000000000116,-0.14273800000000003,-0.925043,0.08221900000000004,0.289605,0.002765999999999935,0.9678492926226965,0.9926885634171208,double,-0.922277
39,0.1625,walk,-1.173855,-0.734852,0.931027,0.001829,0.00403,0.173114,-0.009599232061444677,0.05135589152868905,0.008159347252241296,0.050278910789325296,0.11222679873100098,-0.04143603406819633,-0.0016798656107728006,0.0009599232061444676,0.001679865610751153,-0.0014398848092566662,-0.0038396928245778704,0.0011999040076793356,-0.036526999999999976,0.14665699999999993,-0.922304,0.045692999999999984,-0.1429680000000001,-0.925072,0.08221999999999996,0.289625,0.0027679999999999927,0.9680495103383362,0.9928787721722914,double,-0.922304
40,0.166667,walk,-1.173904,-0.734635,0.93107,0.001841,0.00411,0.17306,-0.011759059275249745,0.0520758339332641,0.010319174466019723,-0.0010868714383267606,0.03884387386444664,-0.02622713000010424,0.0023998080153744905,0.0,0.0014398848092154525,0.0004799616030855554,-0.003119750419949537,0.001679865610751153,-0.036467999999999945,0.14644000000000001,-0.922341,0.04574400000000001,-0.14319799999999994,-0.9251079999999999,0.08221199999999995,0.28963799999999995,0.002766999999999964,0.9676656116351703,0.9940406109808424,double,-0.922341
41,0.170833,walk,-1.173933,-0.734418,0.931108,0.001927,0.004342,0.172997,-0.006961113778164833,0.05208833413346677,0.009121459433531803,0.021255027060963542,0.1168771241140138,-0.030583631461823947,0.0016802688430365487,-0.0002400384061518855,0.0,0.000480076812303771,-0.0033605376860464478,-0.00024003840614501487,-0.03643200000000002,0.14622199999999996,-0.9223790000000001,0.0457749999999999,-0.14342900000000003,-0.925147,0.08220699999999992,0.289651,0.0027679999999999927,0.9694911202544572,0.9943281137466656,double,-0.9223790000000001
42,0.175,walk,-1.174004,-0.734164,0.931145,0.001975,0.004515,0.172817,-0.017038636909084397,0.06095512359010749,0.008879289656816402,0.007922218542109115,0.08586783484178104,-0.0876034783839946,0.001919846412288948,-0.0007199424046016947,0.004799616030717374,0.0004799616030855586,-0.004079673626094032,-0.0004799616030718207,-0.03635299999999986,0.145965,-0.922396,0.04584800000000011,-0.14369999999999994,-0.925186,0.08220099999999997,0.28966499999999995,0.002789999999999959,0.9634012706299775,0.9931070762580771,double,-0.922396
43,0.179167,walk,-1.174044,-0.733931,0.931162,0.002022,0.004763,0.172724,-0.009599232061444677,0.055915526757868615,0.004079673626120648,0.001432270679177424,0.12119212497732601,-0.045075210847592743,0.0035997120230084494,0.0038396928245778704,0.0004799616030718175,0.00047996160303226897,-0.003359731221518958,-0.00023998080153590876,-0.03629799999999994,0.145748,-0.9224110000000001,0.045889999999999986,-0.14394700000000005,-0.925204,0.08218799999999993,0.28969500000000004,0.0027929999999999344,0.9632616184523348,0.9943294748904874,double,-0.9224110000000001
44,0.183333,walk,-1.17411,-0.733683,0.931199,0.002102,0.005021,0.172596,-0.015842534805544747,0.05952952472396202,0.008881421027353268,0.01612175728222917,0.12870640744568163,-0.06219922262989954,0.0,0.0012001920307327777,0.00048007681229002974,-0.0021603456552870205,-0.0064810369659143606,-0.0004800768122898216,-0.03623200000000004,0.145505,-0.922446,0.04594699999999996,-0.14422200000000007,-0.925243,0.082179,0.28972700000000007,0.0027970000000000494,0.9698755893714335,0.988585899649804,double,-0.922446
45,0.1875,walk,-1.174154,-0.733407,0.931205,0.001971,0.005308,0.172519,-0.0105591552675625,0.06623470122388833,0.0014398848092033799,-0.0859030187385491,0.12487646178151902,-0.03679068989476267,0.002639788816890625,0.0007199424046016899,0.0021598272138229706,-0.0011999040076872453,-0.0035997120230350926,-0.0004799616030718175,-0.036177000000000126,0.14523200000000003,-0.9224429999999999,0.04598599999999986,-0.144513,-0.9252509999999999,0.08216299999999999,0.28974500000000003,0.0028080000000000327,0.9661101291711398,0.993625558975079,double,-0.9224429999999999
46,0.191667,walk,-1.174213,-0.733151,0.931247,0.002024,0.005485,0.172499,-0.014158867290624237,0.06143508519319264,0.010079193664530231,0.010347257307238133,0.08808043612504644,-0.009588337023706338,0.0038396928245778704,0.002639788816890625,0.0014398848092150361,-0.0009599232061178244,-0.003359731221492315,-0.0004799616030718175,-0.03610200000000008,0.14498699999999998,-0.922479,0.046041,-0.144783,-0.9252950000000001,0.08214300000000008,0.28976999999999997,0.0028160000000000407,0.9637116896916627,0.9941216948817573,double,-0.922479
47,0.195833,walk,-1.174273,-0.732871,0.931284,0.002039,0.005788,0.172587,-0.014402304368686735,0.06721075372058251,0.008881421027353268,-0.01775095916787544,0.14448168421225982,0.043275478728048135,0.0002400384061785351,-0.0014402304368580138,0.00048007681229002974,-0.000480076812303771,-0.0033605376860197985,-0.0009601536245798513,-0.03604099999999999,0.14470100000000008,-0.9225140000000001,0.04609899999999989,-0.1450769999999999,-0.925336,0.08213999999999988,0.289778,0.002821999999999991,0.9692183404395069,0.9941202838627512,double,-0.9225140000000001
48,0.2,walk,-1.174543,-0.732787,0.93158,0.001496,0.004997,0.172006,-0.06479481641468496,0.02015838732903382,0.07103431725461068,-0.19289958935767046,-0.41865371991129263,-0.2827969862450086,0.0028797696184067597,0.0014398848092033799,0.001679865610751153,-0.00023998080151613449,-0.0026397888169172683,0.001919846412287062,-0.035759000000000096,0.14462299999999995,-0.9228029999999999,0.046367999999999965,-0.14517200000000008,-0.925624,0.08212700000000006,0.289795,0.0028210000000000734,0.9657373858290044,0.994545163708081,double,-0.9228029999999999
49,0.204167,walk,-1.174669,-0.732556,0.931677,0.001507,0.005168,0.171781,-0.03023758099353761,0.05543556515478343,0.02327813774898351,-0.009483937811033467,0.08182516489269723,-0.10950359301209946,0.0007199424046016947,0.0004799616030855586,0.0009599232061436414,0.004079673626094032,0.0033597312215189806,-0.0011999040076795518,-0.03563000000000005,0.14439400000000002,-0.9228959999999999,0.04651099999999997,-0.145389,-0.9257259999999999,0.08214100000000002,0.289783,0.002829999999999999,0.9695461063886319,0.9909674507714319,double,-0.9228959999999999
