Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,-0.019809,-0.032711,-0.941145,-0.335833,1.401673,-0.418911,0.033234,0.033723,0.07195,-0.78792,-0.61063,1.593723,-0.263674,0.035278,-0.021084,0.025248,0.899046,0.436618,1.507282,-0.299916,0.9388,jog
1,0.008333,-0.020029,-0.033054,-0.941,-0.336193,1.40179,-0.418935,0.033295,0.032335,0.07357,-0.788375,-0.609924,1.5937,-0.263893,0.035457,-0.021378,0.026012,0.899375,0.435879,1.507411,-0.299,0.938439,jog
2,0.016667,-0.020063,-0.033302,-0.940821,-0.336665,1.401906,-0.418945,0.033382,0.030693,0.074705,-0.788752,-0.609383,1.593695,-0.264126,0.035662,-0.021036,0.026464,0.899742,0.435112,1.507483,-0.297944,0.937964,jog
3,0.025,-0.02004,-0.033818,-0.940718,-0.336906,1.402031,-0.418939,0.033481,0.028871,0.075853,-0.788995,-0.609015,1.593686,-0.264353,0.035882,-0.020528,0.026878,0.900246,0.434067,1.507446,-0.296725,0.937584,jog
4,0.033333,-0.020002,-0.034363,-0.940613,-0.337144,1.402173,-0.418907,0.033607,0.027389,0.077089,-0.78934,-0.608481,1.593659,-0.264591,0.036023,-0.019878,0.027579,0.900935,0.43262,1.507576,-0.295593,0.937249,jog
5,0.041667,-0.019893,-0.034945,-0.940466,-0.337501,1.402312,-0.418843,0.033769,0.025636,0.078061,-0.789717,-0.607945,1.593629,-0.264832,0.036192,-0.019233,0.028531,0.901515,0.431378,1.507571,-0.294742,0.937113,jog
6,0.05,-0.019401,-0.035618,-0.940389,-0.337673,1.402412,-0.418749,0.033919,0.024059,0.079067,-0.790179,-0.607278,1.593588,-0.265071,0.036351,-0.017799,0.028943,0.90228,0.429809,1.507439,-0.293654,0.93704,jog
7,0.058333,-0.01881,-0.036648,-0.940366,-0.337661,1.402493,-0.418594,0.034127,0.023156,0.08007,-0.790611,-0.606619,1.593613,-0.265354,0.036516,-0.017158,0.028609,0.903079,0.428176,1.507242,-0.292088,0.936785,jog
8,0.066667,-0.017924,-0.03794,-0.940374,-0.337545,1.402527,-0.418384,0.034391,0.021819,0.080844,-0.791124,-0.605897,1.593572,-0.265639,0.036682,-0.018742,0.027891,0.903782,0.426673,1.50711,-0.290669,0.936608,jog
9,0.075,-0.016848,-0.039427,-0.940453,-0.337208,1.402456,-0.418138,0.034618,0.021064,0.081517,-0.791569,-0.605251,1.593542,-0.265878,0.036769,-0.019433,0.027417,0.904375,0.425414,1.5071,-0.289526,0.936394,jog
10,0.083333,-0.01567,-0.041318,-0.940599,-0.336632,1.402334,-0.417708,0.034927,0.020582,0.081763,-0.791925,-0.604769,1.593554,-0.266073,0.03677,-0.019332,0.026559,0.904923,0.424306,1.506918,-0.288206,0.935934,jog
11,0.091667,-0.013262,-0.043326,-0.940797,-0.335929,1.40212,-0.417189,0.035439,0.020458,0.08196,-0.792117,-0.604495,1.593636,-0.266218,0.036734,-0.019685,0.024822,0.905523,0.423112,1.506632,-0.287046,0.935534,jog
12,0.1,-0.009845,-0.044854,-0.941122,-0.334935,1.401873,-0.41659,0.036186,0.020518,0.082336,-0.792143,-0.604409,1.593777,-0.266322,0.03664,-0.020101,0.023218,0.905968,0.42223,1.506377,-0.28585,0.93485,jog
13,0.108333,-0.004533,-0.044682,-0.941867,-0.332971,1.401666,-0.415765,0.037112,0.020301,0.08249,-0.792184,-0.604341,1.593931,-0.266385,0.036524,-0.021597,0.021876,0.906372,0.421361,1.506127,-0.284834,0.934147,jog
14,0.116667,0.002819,-0.041893,-0.9431,-0.329848,1.401435,-0.414824,0.038292,0.020111,0.082158,-0.79208,-0.604529,1.594093,-0.266381,0.036389,-0.022719,0.019563,0.906518,0.421101,1.505383,-0.283551,0.933485,jog
