Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.191667,-0.025013,0.004324,-0.995241,-0.094075,-0.342513,0.312284,0.374492,0.007462,-0.037534,0.939649,0.339993,-0.222672,0.515024,0.373251,0.03141,-0.00398,-0.960079,-0.277931,-0.297479,0.389982,1.28262,step_decsent
24,0.2,-0.024995,0.004448,-0.995231,-0.094189,-0.342513,0.312288,0.37446,0.007362,-0.037797,0.939588,0.340134,-0.222699,0.514999,0.373258,0.03162,-0.003504,-0.95998,-0.278255,-0.298434,0.389458,1.282549,step_decsent
25,0.208333,-0.024876,0.004456,-0.995229,-0.094238,-0.342528,0.312291,0.374437,0.007102,-0.038361,0.939553,0.340175,-0.22273,0.514971,0.37327,0.031402,-0.003192,-0.959828,-0.278807,-0.29968,0.388856,1.282381,step_decsent
26,0.216667,-0.024838,0.004493,-0.99522,-0.094345,-0.342547,0.312309,0.374407,0.006668,-0.038641,0.93951,0.340271,-0.222747,0.514956,0.373254,0.031612,-0.003014,-0.959743,-0.279078,-0.300571,0.388287,1.28233,step_decsent
27,0.225,-0.024731,0.00444,-0.995206,-0.094521,-0.342565,0.312311,0.374388,0.006506,-0.038965,0.939474,0.340336,-0.222777,0.514939,0.373257,0.031589,-0.002866,-0.959641,-0.279433,-0.301713,0.387795,1.282286,step_decsent
28,0.233333,-0.024631,0.004666,-0.995195,-0.094645,-0.342589,0.312324,0.374355,0.006423,-0.039302,0.939434,0.340407,-0.222812,0.514927,0.373277,0.031387,-0.002525,-0.959554,-0.279759,-0.302706,0.387079,1.282184,step_decsent
29,0.241667,-0.024523,0.004832,-0.995192,-0.094702,-0.342613,0.312307,0.374321,0.00637,-0.039741,0.939417,0.340406,-0.222843,0.514908,0.373302,0.031793,-0.00242,-0.959572,-0.27965,-0.303734,0.386303,1.282078,step_decsent
30,0.25,-0.024393,0.004911,-0.995189,-0.094767,-0.342637,0.312289,0.374306,0.006166,-0.040097,0.93938,0.340469,-0.222877,0.514886,0.373328,0.031763,-0.002047,-0.959478,-0.27998,-0.304703,0.385686,1.281987,step_decsent
31,0.258333,-0.024342,0.005184,-0.995174,-0.094922,-0.342662,0.312285,0.374283,0.006007,-0.040474,0.939333,0.340558,-0.22291,0.514857,0.373338,0.031299,-0.001825,-0.959427,-0.280207,-0.305734,0.385054,1.281947,step_decsent
32,0.266667,-0.024263,0.005337,-0.995161,-0.09507,-0.34268,0.312285,0.374264,0.005753,-0.040975,0.939326,0.340522,-0.222932,0.514843,0.37337,0.030812,-0.001549,-0.959299,-0.280703,-0.306852,0.384405,1.281937,step_decsent
33,0.275,-0.024855,0.004488,-0.995152,-0.095052,-0.342585,0.312371,0.374155,0.005662,-0.041322,0.939287,0.340587,-0.222973,0.51481,0.373388,0.031561,-0.00165,-0.959305,-0.280596,-0.307882,0.383614,1.281944,step_decsent
34,0.283333,-0.024574,0.004711,-0.995125,-0.095391,-0.342594,0.312376,0.374097,0.005442,-0.041748,0.93929,0.340531,-0.222995,0.514797,0.373426,0.030583,-0.001227,-0.959234,-0.280949,-0.308855,0.382848,1.281749,step_decsent
35,0.291667,-0.024616,0.004711,-0.995112,-0.095521,-0.342609,0.312355,0.374083,0.005399,-0.042103,0.939243,0.34062,-0.223039,0.51476,0.37345,0.031475,-0.000993,-0.958993,-0.281675,-0.310045,0.382482,1.281673,step_decsent
36,0.3,-0.024491,0.004967,-0.995107,-0.09559,-0.342622,0.312342,0.374057,0.005215,-0.042484,0.939195,0.340707,-0.223073,0.514733,0.373475,0.030207,-0.000537,-0.959005,-0.281774,-0.311088,0.381648,1.281456,step_decsent
37,0.308333,-0.024318,0.005161,-0.995096,-0.095736,-0.34264,0.312327,0.374046,0.005375,-0.042431,0.939018,0.341198,-0.223159,0.514631,0.373481,0.031677,-0.001009,-0.959085,-0.281338,-0.312007,0.38093,1.281614,step_decsent
38,0.316667,-0.024185,0.005571,-0.995092,-0.095789,-0.342663,0.312308,0.374017,0.005274,-0.042804,0.938985,0.341244,-0.223199,0.514602,0.373508,0.030602,-0.00085,-0.959193,-0.281089,-0.312904,0.380093,1.281501,step_decsent
39,0.325,-0.024111,0.005782,-0.99508,-0.095919,-0.342678,0.312288,0.373989,0.005115,-0.043163,0.938948,0.341302,-0.223242,0.514575,0.373541,0.029286,-0.00019,-0.959243,-0.281062,-0.313763,0.379266,1.281255,step_decsent
40,0.333333,-0.02401,0.006187,-0.995077,-0.09595,-0.342686,0.312282,0.373951,0.004963,-0.043372,0.938897,0.34142,-0.223284,0.514539,0.373557,0.029889,-0.000467,-0.959475,-0.280204,-0.314719,0.378238,1.281415,step_decsent
41,0.341667,-0.023935,0.006492,-0.995075,-0.095969,-0.342689,0.312266,0.373911,0.004778,-0.043641,0.938848,0.341521,-0.223321,0.514509,0.373573,0.02918,0.000191,-0.959462,-0.280322,-0.315679,0.377547,1.281254,step_decsent
42,0.35,-0.023825,0.00685,-0.995077,-0.095956,-0.342693,0.312252,0.373871,0.00459,-0.043899,0.938801,0.341619,-0.223359,0.514479,0.373591,0.029267,-0.000252,-0.959466,-0.2803,-0.316704,0.376805,1.28129,step_decsent
43,0.358333,-0.023771,0.007214,-0.995077,-0.095937,-0.342693,0.312246,0.37383,0.004331,-0.04405,0.938599,0.342158,-0.22342,0.514426,0.373573,0.029711,8.4e-05,-0.959525,-0.280052,-0.31769,0.375886,1.281159,step_decsent
44,0.366667,-0.023651,0.007706,-0.995082,-0.09588,-0.342692,0.312238,0.373796,0.004243,-0.044123,0.938542,0.342307,-0.22347,0.514387,0.373593,0.029671,4.6e-05,-0.959613,-0.279754,-0.318534,0.375051,1.281033,step_decsent
45,0.375,-0.023703,0.008151,-0.99508,-0.095854,-0.342693,0.312229,0.373747,0.004116,-0.044392,0.938489,0.34242,-0.223515,0.514334,0.373617,0.028815,0.0006,-0.959683,-0.279604,-0.319613,0.374287,1.280851,step_decsent
46,0.383333,-0.023711,0.008648,-0.995074,-0.095868,-0.342689,0.312211,0.373705,0.004134,-0.044559,0.938404,0.34263,-0.22357,0.514264,0.373638,0.02986,0.000289,-0.959788,-0.279135,-0.320505,0.373509,1.280868,step_decsent
47,0.391667,-0.023488,0.007919,-0.995068,-0.096052,-0.342881,0.312051,0.37377,0.004045,-0.044688,0.938346,0.342773,-0.223612,0.514207,0.373647,0.028886,0.000559,-0.959852,-0.279015,-0.321511,0.372698,1.280625,step_decsent
48,0.4,-0.02344,0.008487,-0.99506,-0.096097,-0.342901,0.312026,0.373746,0.004028,-0.044865,0.938282,0.342926,-0.223644,0.514161,0.373689,0.028221,0.001243,-0.959869,-0.279022,-0.322542,0.371934,1.280312,step_decsent
49,0.408333,-0.023504,0.009071,-0.99504,-0.096235,-0.342923,0.311999,0.373719,0.003973,-0.044921,0.938229,0.343063,-0.223679,0.514119,0.373727,0.028871,0.001025,-0.960074,-0.27825,-0.323507,0.371017,1.280326,step_decsent
50,0.416667,-0.023522,0.009661,-0.995048,-0.096087,-0.342933,0.31195,0.373687,0.003813,-0.045105,0.938208,0.343099,-0.2237,0.514092,0.373774,0.027595,0.00122,-0.960225,-0.277858,-0.324492,0.370224,1.280084,step_decsent
51,0.425,-0.023516,0.010043,-0.995025,-0.096292,-0.342944,0.311907,0.373651,0.003619,-0.045163,0.938166,0.343208,-0.223748,0.514061,0.373829,0.02758,0.000757,-0.96033,-0.277497,-0.32542,0.369356,1.28008,step_decsent
52,0.433333,-0.023517,0.010547,-0.994994,-0.096556,-0.34295,0.311864,0.373613,0.003629,-0.045094,0.938108,0.343377,-0.223782,0.514016,0.373869,0.027449,0.001047,-0.960476,-0.277005,-0.326523,0.368438,1.279844,step_decsent
53,0.441667,-0.023497,0.010971,-0.994953,-0.096934,-0.342965,0.31182,0.373583,0.003747,-0.044872,0.938066,0.343517,-0.223827,0.513988,0.373937,0.026872,0.000496,-0.960755,-0.276095,-0.32726,0.367652,1.27964,step_decsent
