Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.191667,-0.042785,0.005739,0.159658,-0.986228,-0.944191,1.26825,0.048633,0.051204,-0.018471,0.442036,-0.895344,-1.050647,1.027708,0.046498,-0.020792,-0.050447,0.183364,-0.98153,-1.008065,1.056091,0.952014,jog
24,0.2,-0.043601,0.005315,0.159697,-0.986188,-0.944199,1.268237,0.048718,0.051598,-0.018139,0.44177,-0.895459,-1.050642,1.027778,0.046515,-0.021323,-0.050549,0.18346,-0.981495,-1.007966,1.054358,0.951864,jog
25,0.208333,-0.043902,0.004948,0.159712,-0.986175,-0.944224,1.2682,0.048791,0.051907,-0.017864,0.441541,-0.89556,-1.050685,1.027813,0.046525,-0.021584,-0.050074,0.183628,-0.981482,-1.007939,1.052659,0.951662,jog
26,0.216667,-0.044206,0.004616,0.159709,-0.986163,-0.944213,1.268106,0.048827,0.052127,-0.017505,0.44142,-0.895614,-1.050722,1.027864,0.046526,-0.022116,-0.04974,0.183935,-0.98143,-1.007841,1.050948,0.951506,jog
27,0.225,-0.044975,0.004085,0.15947,-0.986169,-0.944201,1.26805,0.048942,0.052216,-0.017099,0.441417,-0.895618,-1.050775,1.02791,0.046524,-0.022586,-0.049344,0.184266,-0.981377,-1.007639,1.049082,0.951258,jog
28,0.233333,-0.04518,0.003784,0.159297,-0.986189,-0.944175,1.267942,0.049015,0.052554,-0.016794,0.441392,-0.895617,-1.050815,1.027993,0.046523,-0.023619,-0.048857,0.184228,-0.981384,-1.007486,1.047275,0.951136,jog
29,0.241667,-0.045982,0.002806,0.159134,-0.986182,-0.944122,1.267808,0.049187,0.052936,-0.016357,0.441278,-0.895659,-1.050861,1.028104,0.046533,-0.024523,-0.047606,0.184124,-0.981443,-1.00734,1.045501,0.950943,jog
30,0.25,-0.046684,0.002685,0.159057,-0.986161,-0.944118,1.267576,0.049291,0.053216,-0.015734,0.441084,-0.895748,-1.050906,1.028213,0.04656,-0.025552,-0.046719,0.184596,-0.981371,-1.007247,1.043796,0.950571,jog
31,0.258333,-0.04838,0.001757,0.159258,-0.986049,-0.944114,1.267291,0.049491,0.053535,-0.015165,0.440923,-0.895819,-1.050947,1.028339,0.046589,-0.026284,-0.046909,0.184533,-0.981354,-1.007108,1.041948,0.950328,jog
32,0.266667,-0.049936,0.000858,0.158825,-0.986043,-0.9441,1.267027,0.049705,0.053646,-0.014806,0.440542,-0.896005,-1.050969,1.028487,0.046591,-0.027417,-0.045981,0.184511,-0.981372,-1.006906,1.040099,0.950157,jog
33,0.275,-0.050928,-0.001067,0.157196,-0.986253,-0.943844,1.266602,0.050044,0.053875,-0.014251,0.440412,-0.896065,-1.051008,1.02859,0.046609,-0.027891,-0.045624,0.184594,-0.981359,-1.006672,1.038226,0.949762,jog
34,0.283333,-0.055458,-0.001892,0.156098,-0.986182,-0.943727,1.266148,0.05033,0.053981,-0.013885,0.440342,-0.896099,-1.051072,1.028687,0.046629,-0.027221,-0.04507,0.184265,-0.981465,-1.006296,1.036404,0.949354,jog
35,0.291667,-0.058169,-0.005347,0.154739,-0.986227,-0.943585,1.265328,0.051017,0.053989,-0.013417,0.440278,-0.896136,-1.051129,1.028771,0.046639,-0.027287,-0.044741,0.184321,-0.981468,-1.005947,1.034482,0.948839,jog
36,0.3,-0.059797,-0.009102,0.15074,-0.986721,-0.94341,1.264313,0.051824,0.05397,-0.013042,0.440233,-0.896165,-1.051193,1.028828,0.046655,-0.0272,-0.043595,0.185409,-0.981317,-1.004812,1.032185,0.948593,jog
37,0.308333,-0.059623,-0.014373,0.145617,-0.987438,-0.9433,1.263261,0.052888,0.053829,-0.012699,0.440198,-0.896196,-1.05125,1.028872,0.046676,-0.026332,-0.043612,0.185465,-0.981329,-1.004132,1.030217,0.948037,jog
38,0.316667,-0.058818,-0.020733,0.140312,-0.988141,-0.943083,1.262131,0.054211,0.053685,-0.01235,0.440197,-0.89621,-1.051324,1.028901,0.046697,-0.025282,-0.042628,0.184999,-0.981488,-1.003375,1.028089,0.947923,jog
39,0.325,-0.06263,-0.026816,0.134061,-0.988628,-0.943081,1.260564,0.055662,0.053206,-0.011938,0.440322,-0.896183,-1.051404,1.028907,0.046706,-0.025913,-0.040262,0.185594,-0.981459,-1.002591,1.026182,0.947513,jog
40,0.333333,-0.064085,-0.033743,0.127809,-0.989151,-0.943044,1.258593,0.057378,0.052762,-0.01162,0.440481,-0.896135,-1.051489,1.02891,0.046734,-0.025721,-0.039848,0.186045,-0.981396,-1.00166,1.024169,0.947063,jog
41,0.341667,-0.066146,-0.041514,0.121258,-0.989544,-0.943086,1.256149,0.059265,0.052256,-0.01133,0.440653,-0.896084,-1.05157,1.028894,0.046735,-0.023946,-0.039115,0.185766,-0.981523,-1.000778,1.022325,0.946723,jog
42,0.35,-0.070251,-0.049349,0.112421,-0.989945,-0.943149,1.253698,0.061084,0.051953,-0.011181,0.440933,-0.895966,-1.051648,1.028871,0.046749,-0.023337,-0.039146,0.186526,-0.981392,-0.999669,1.020364,0.94619,jog
