Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.191667,-0.002669,-0.006816,-0.998283,0.058118,-0.499889,0.023638,0.033421,0.00441,-0.029528,0.872736,0.487278,-0.310175,0.291656,0.032141,-0.010624,0.014992,0.97602,0.216906,-0.396889,0.137771,0.943749,step_acsent
24,0.2,-0.002681,-0.006481,-0.998283,0.058156,-0.499872,0.023622,0.033418,0.004241,-0.028717,0.872504,0.487743,-0.310294,0.291632,0.032199,-0.012759,0.014471,0.976079,0.216561,-0.397697,0.136963,0.943599,step_acsent
25,0.208333,-0.002735,-0.006252,-0.998288,0.058094,-0.499871,0.023607,0.033419,0.004087,-0.027858,0.872283,0.488189,-0.310417,0.291587,0.032278,-0.010261,0.014782,0.976347,0.215461,-0.398098,0.135816,0.943785,step_acsent
26,0.216667,-0.002838,-0.005929,-0.998292,0.058058,-0.499858,0.023577,0.033406,0.004079,-0.027101,0.871964,0.488802,-0.310582,0.291484,0.032381,-0.010789,0.014426,0.976533,0.214612,-0.398911,0.134899,0.943447,step_acsent
27,0.225,-0.002875,-0.005736,-0.998297,0.057989,-0.499852,0.023561,0.033406,0.004488,-0.031731,0.873038,0.486597,-0.310068,0.291655,0.032103,-0.013041,0.014183,0.97664,0.214015,-0.39975,0.134001,0.94329,step_acsent
28,0.233333,-0.002959,-0.005296,-0.9983,0.057963,-0.499839,0.023541,0.033391,0.004472,-0.03198,0.873071,0.486523,-0.31007,0.291652,0.032106,-0.011454,0.015019,0.97697,0.212542,-0.400348,0.132769,0.943469,step_acsent
29,0.241667,-0.003098,-0.005051,-0.998307,0.057865,-0.499843,0.023532,0.033385,0.00411,-0.031665,0.87302,0.486639,-0.31005,0.29164,0.032048,-0.013399,0.014018,0.976989,0.212408,-0.401155,0.131867,0.943128,step_acsent
30,0.25,-0.00314,-0.004758,-0.998309,0.057846,-0.499828,0.023509,0.033383,0.003726,-0.030827,0.872634,0.487387,-0.31017,0.291618,0.032083,-0.013271,0.013931,0.977205,0.211425,-0.401986,0.13088,0.943309,step_acsent
31,0.258333,-0.003236,-0.00435,-0.998317,0.057741,-0.499817,0.023479,0.033373,0.00351,-0.029988,0.872324,0.487995,-0.310277,0.291565,0.032111,-0.015961,0.014227,0.977325,0.210662,-0.402874,0.129933,0.943246,step_acsent
32,0.266667,-0.003273,-0.004488,-0.998315,0.057765,-0.499789,0.023434,0.033414,0.00342,-0.029957,0.872187,0.488243,-0.310335,0.291518,0.032128,-0.011613,0.014908,0.977757,0.208888,-0.403335,0.128576,0.943224,step_acsent
