Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,0.026933,-0.005502,0.091944,0.995385,0.186591,0.503496,0.041248,0.011613,-0.001513,0.208141,-0.978029,0.342418,0.235832,0.033551,-0.010152,0.022368,0.012382,0.999622,0.252595,0.357695,0.945758,step_decsent
1,0.008333,0.027035,-0.005637,0.092028,0.995373,0.186598,0.503497,0.041238,0.011579,-0.001378,0.208095,-0.978039,0.342418,0.23583,0.033556,-0.009989,0.022199,0.012817,0.999622,0.253003,0.35695,0.945771,step_decsent
2,0.016667,0.027118,-0.005533,0.092001,0.995374,0.186593,0.503493,0.041238,0.011519,-0.001469,0.208143,-0.978029,0.342414,0.235839,0.033541,-0.0103,0.022343,0.01315,0.999611,0.253374,0.356326,0.945719,step_decsent
3,0.025,0.027139,-0.005511,0.092049,0.995369,0.186595,0.50349,0.041244,0.011476,-0.001386,0.208097,-0.97804,0.342413,0.235836,0.033547,-0.010358,0.022828,0.013279,0.999598,0.253723,0.355652,0.945681,step_decsent
4,0.033333,0.027198,-0.005597,0.09207,0.995365,0.186591,0.503497,0.041238,0.011656,-0.001335,0.208133,-0.97803,0.34242,0.235838,0.033526,-0.010496,0.02296,0.013489,0.99959,0.254124,0.354972,0.945652,step_decsent
5,0.041667,0.027219,-0.005633,0.092097,0.995362,0.186581,0.503494,0.041235,0.011625,-0.001375,0.208107,-0.978036,0.342414,0.235839,0.033529,-0.010468,0.023298,0.013963,0.999576,0.254391,0.354325,0.945595,step_decsent
6,0.05,0.027101,-0.005656,0.09212,0.995363,0.186569,0.503501,0.041237,0.011392,-0.001295,0.208008,-0.97806,0.342417,0.235832,0.033552,-0.010488,0.023352,0.014108,0.999573,0.254799,0.353707,0.945605,step_decsent
7,0.058333,0.02705,-0.005733,0.09211,0.995365,0.186561,0.503516,0.04123,0.011359,-0.001286,0.207963,-0.97807,0.34241,0.235829,0.033546,-0.010922,0.023539,0.014288,0.999561,0.255253,0.353045,0.94552,step_decsent
8,0.066667,0.027092,-0.005745,0.092116,0.995363,0.186548,0.50352,0.041226,0.011145,-0.001327,0.207933,-0.978079,0.34241,0.235839,0.033547,-0.011032,0.023729,0.014295,0.999555,0.255606,0.352381,0.945439,step_decsent
9,0.075,0.027166,-0.00578,0.092111,0.995361,0.186542,0.503531,0.041227,0.011484,-0.001299,0.207911,-0.978079,0.342417,0.235818,0.033536,-0.011347,0.02417,0.014717,0.999535,0.255932,0.35171,0.945406,step_decsent
