Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.191667,0.012873,-0.004034,-0.678948,0.734063,1.428333,0.345119,0.71794,-0.006419,-0.000218,0.991243,-0.131891,1.201647,0.35902,0.709853,-0.024621,0.051352,-0.843756,0.533697,1.406403,0.353506,1.595124,stair_decsent
24,0.2,0.012281,-0.003963,-0.678901,0.734117,1.428396,0.345091,0.717884,-0.006357,-0.001275,0.991192,-0.132274,1.201619,0.359028,0.709845,-0.023876,0.050148,-0.843054,0.534954,1.406165,0.352833,1.594988,stair_decsent
25,0.208333,0.011486,-0.00372,-0.678692,0.734324,1.428458,0.345042,0.717855,-0.006049,-0.001877,0.99116,-0.132518,1.201588,0.358981,0.709818,-0.023316,0.048877,-0.841877,0.536945,1.40576,0.351882,1.594896,stair_decsent
26,0.216667,0.010758,-0.003429,-0.678537,0.734479,1.42851,0.344992,0.717834,-0.003588,0.007362,0.99128,-0.131514,1.20147,0.358469,0.708901,-0.02263,0.047445,-0.840394,0.539421,1.405341,0.35076,1.594908,stair_decsent
27,0.225,0.010218,-0.003194,-0.678351,0.73466,1.428557,0.344956,0.717798,-0.004726,0.007478,0.991294,-0.131369,1.201488,0.358362,0.708953,-0.022183,0.046162,-0.838909,0.541856,1.40496,0.349563,1.594839,stair_decsent
28,0.233333,0.008104,-0.001785,-0.677553,0.735427,1.428554,0.34478,0.71791,-0.006548,0.00747,0.991315,-0.131134,1.201469,0.358247,0.709111,-0.022472,0.045212,-0.837501,0.544098,1.404606,0.348301,1.594545,stair_decsent
29,0.241667,0.007376,-0.001462,-0.677512,0.735473,1.428576,0.344705,0.717913,-0.007485,-0.00555,0.991132,-0.132551,1.20118,0.358213,0.710779,-0.023157,0.044014,-0.836178,0.546198,1.40431,0.347023,1.594331,stair_decsent
30,0.25,0.007221,-0.001363,-0.677067,0.735885,1.428854,0.344636,0.717806,-0.009456,-0.006702,0.991066,-0.132872,1.200945,0.357954,0.711278,-0.016792,0.045501,-0.835163,0.54786,1.403803,0.345119,1.594826,stair_decsent
31,0.258333,0.007996,-0.001845,-0.677432,0.73554,1.429193,0.344626,0.717706,-0.013204,-0.008181,0.990933,-0.133453,1.200764,0.35777,0.712063,-0.017905,0.045212,-0.833636,0.55017,1.403486,0.34364,1.594696,stair_decsent
32,0.266667,0.010375,-0.002966,-0.678509,0.734513,1.429564,0.344771,0.717637,-0.012287,-0.017901,0.989516,-0.14278,1.199986,0.358765,0.712655,-0.018013,0.044252,-0.832595,0.551818,1.403141,0.342463,1.594598,stair_decsent
33,0.275,0.010737,-0.00339,-0.678949,0.7341,1.429762,0.344807,0.71753,-0.016368,-0.022945,0.988791,-0.146621,1.199511,0.359107,0.713627,-0.018552,0.043029,-0.831572,0.553436,1.402852,0.3413,1.594722,stair_decsent
34,0.283333,0.011127,-0.003606,-0.679285,0.733781,1.429831,0.344788,0.717521,-0.017239,-0.03983,0.987276,-0.152976,1.198676,0.360168,0.71528,-0.018328,0.030992,-0.831573,0.554247,1.402696,0.339725,1.597639,stair_decsent
35,0.291667,0.011752,-0.002832,-0.679602,0.733481,1.429985,0.344767,0.717655,-0.024003,-0.044132,0.986703,-0.154573,1.198252,0.360217,0.716692,-0.022289,0.041441,-0.830104,0.555619,1.402106,0.339408,1.594932,stair_decsent
36,0.3,0.011868,-0.001821,-0.679753,0.733343,1.430039,0.344698,0.717777,-0.030084,-0.055674,0.985821,-0.155411,1.19788,0.359868,0.71886,-0.022204,0.0297,-0.828416,0.558885,1.402672,0.3389,1.598033,stair_decsent
37,0.308333,0.012069,-0.000526,-0.679916,0.73319,1.430054,0.344631,0.717902,-0.036878,-0.066351,0.984461,-0.158348,1.196957,0.359552,0.720738,-0.025765,0.030199,-0.828061,0.559231,1.401891,0.338161,1.598,stair_decsent
38,0.316667,0.009748,-0.000978,-0.679115,0.733967,1.429943,0.344582,0.717724,-0.044694,-0.077277,0.983024,-0.160297,1.196305,0.359228,0.722677,-0.028678,0.02907,-0.826618,0.56128,1.401559,0.33717,1.598343,stair_decsent
39,0.325,0.008112,-0.001351,-0.678545,0.734513,1.429842,0.34457,0.717594,-0.050601,-0.088065,0.981477,-0.162443,1.195573,0.358655,0.72486,-0.030556,0.027969,-0.824603,0.564193,1.401754,0.33722,1.59883,stair_decsent
40,0.333333,0.007312,-0.00023,-0.678274,0.734773,1.429929,0.344522,0.717713,-0.057556,-0.100799,0.979601,-0.164039,1.194957,0.3575,0.727194,-0.032458,0.027562,-0.822569,0.56707,1.401845,0.337209,1.599023,stair_decsent
41,0.341667,0.006478,0.000511,-0.678005,0.735029,1.429972,0.344467,0.717734,-0.062918,-0.111179,0.977917,-0.165406,1.19412,0.356285,0.729545,-0.034279,0.025871,-0.820364,0.570227,1.402096,0.33708,1.599568,stair_decsent
42,0.35,0.006103,0.001137,-0.677748,0.735268,1.430029,0.344416,0.717764,-0.069196,-0.121979,0.976186,-0.16551,1.193385,0.354727,0.731935,-0.036054,0.025176,-0.817794,0.573828,1.40251,0.336929,1.599869,stair_decsent
43,0.358333,0.010485,-0.005386,-0.679828,0.733277,1.430169,0.344888,0.717051,-0.071017,-0.118644,0.976425,-0.165753,1.192329,0.352489,0.733465,-0.041125,0.029888,-0.815278,0.576834,1.403034,0.337915,1.599333,stair_decsent
44,0.366667,0.01027,-0.005232,-0.679929,0.733187,1.430239,0.344934,0.717016,-0.076793,-0.122487,0.975508,-0.165786,1.191988,0.350111,0.735577,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
45,0.375,0.009191,-0.00337,-0.680144,0.733014,1.430345,0.345007,0.717218,-0.077629,-0.124666,0.974089,-0.171998,1.191945,0.345496,0.738537,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
46,0.383333,0.010239,-0.005858,-0.680053,0.733068,1.430358,0.345013,0.716812,-0.077838,-0.123687,0.972782,-0.179829,1.192183,0.341277,0.740848,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
47,0.391667,0.011026,-0.007204,-0.680487,0.732642,1.430467,0.345077,0.716567,-0.079991,-0.107511,0.973079,-0.187509,1.192789,0.335233,0.742667,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
48,0.4,0.010923,-0.007826,-0.681104,0.732063,1.430645,0.345107,0.716385,-0.081109,-0.10511,0.970786,-0.199871,1.19349,0.329312,0.744853,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
49,0.408333,0.008535,-0.004096,-0.681878,0.731404,1.430977,0.345317,0.716756,-0.082024,-0.103808,0.967752,-0.214366,1.194176,0.323497,0.7468,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
50,0.416667,0.011093,-0.007915,-0.68136,0.731821,1.430778,0.345053,0.716334,-0.083521,-0.103232,0.964749,-0.227216,1.195156,0.316096,0.749384,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
51,0.425,0.010908,-0.007664,-0.6813,0.731883,1.43081,0.345042,0.716392,-0.079534,-0.101323,0.960626,-0.24618,1.195827,0.308706,0.75128,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
52,0.433333,0.008572,-0.005691,-0.678851,0.734204,1.43095,0.344806,0.716611,-0.079648,-0.093834,0.957295,-0.261607,1.196336,0.302151,0.752323,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
53,0.441667,0.008919,-0.006462,-0.678941,0.73411,1.430902,0.344873,0.716544,-0.075939,-0.086405,0.953689,-0.277931,1.196585,0.29518,0.753141,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
54,0.45,0.011157,-0.01088,-0.679873,0.733164,1.431066,0.345311,0.715954,-0.07195,-0.080937,0.949591,-0.294195,1.196939,0.287975,0.75382,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
55,0.458333,0.010102,-0.009153,-0.679535,0.733516,1.431032,0.345296,0.71613,-0.067339,-0.076643,0.945558,-0.309049,1.1977,0.280021,0.754665,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
56,0.466667,0.008817,-0.007712,-0.6793,0.733767,1.430906,0.345304,0.716285,-0.060048,-0.083024,0.941171,-0.322023,1.199595,0.271515,0.756432,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
57,0.475,0.007996,-0.00607,-0.679318,0.733775,1.430796,0.3454,0.716512,-0.055551,-0.07745,0.936072,-0.338651,1.199797,0.263376,0.756822,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
58,0.483333,0.009695,-0.010072,-0.681656,0.73154,1.430766,0.345934,0.716195,-0.050085,-0.074462,0.931052,-0.35368,1.200605,0.255257,0.75695,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
59,0.491667,0.013195,-0.013711,-0.680692,0.732322,1.430953,0.345707,0.715872,-0.048387,-0.069476,0.928861,-0.360622,1.202545,0.24596,0.757016,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
60,0.5,0.014087,-0.015651,-0.681291,0.73171,1.430879,0.345881,0.715686,-0.048227,-0.06603,0.92553,-0.36974,1.203957,0.237254,0.756713,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
61,0.508333,0.014525,-0.01685,-0.681646,0.731344,1.430823,0.34598,0.715641,-0.04466,-0.060414,0.921778,-0.38037,1.205046,0.228244,0.756094,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
62,0.516667,0.014684,-0.016388,-0.680964,0.731986,1.430779,0.34579,0.715886,-0.042782,-0.046124,0.917808,-0.392008,1.205803,0.219943,0.755568,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
63,0.525,0.015072,-0.015699,-0.679372,0.733472,1.430792,0.345392,0.715999,-0.039756,-0.040836,0.913723,-0.40232,1.206693,0.210898,0.754626,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
64,0.533333,0.01508,-0.015667,-0.678954,0.733859,1.430688,0.345356,0.716105,-0.036875,-0.037401,0.909328,-0.412752,1.207336,0.201882,0.753498,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
65,0.541667,0.015526,-0.01539,-0.678303,0.734457,1.430586,0.345249,0.716227,-0.035175,-0.037014,0.905735,-0.420758,1.207956,0.192967,0.752097,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
66,0.55,0.01405,-0.013045,-0.677939,0.734868,1.430456,0.34527,0.716612,-0.033847,-0.035679,0.902031,-0.428861,1.208468,0.184127,0.750466,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
67,0.558333,0.01467,-0.013179,-0.676222,0.736434,1.430155,0.344827,0.7167,-0.031887,-0.037296,0.898251,-0.436736,1.208823,0.175291,0.748671,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
68,0.566667,0.015896,-0.013375,-0.675116,0.737419,1.429818,0.344487,0.716609,-0.031641,-0.039241,0.894806,-0.4436,1.209156,0.166664,0.7465,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
69,0.575,0.01473,-0.012753,-0.674565,0.737958,1.429612,0.344631,0.716808,-0.032385,-0.042664,0.891101,-0.450634,1.209401,0.158111,0.743983,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
70,0.583333,0.014968,-0.012314,-0.673749,0.738706,1.429349,0.344331,0.716762,-0.035145,-0.046976,0.887436,-0.457182,1.209615,0.149686,0.740978,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
71,0.591667,0.013907,-0.012393,-0.673041,0.73937,1.42913,0.344355,0.716735,-0.039433,-0.050895,0.88392,-0.463185,1.209786,0.141425,0.73747,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
72,0.6,0.014298,-0.012501,-0.672856,0.73953,1.428909,0.344359,0.716738,-0.046294,-0.05721,0.879316,-0.470519,1.209626,0.133246,0.733883,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
73,0.608333,0.014657,-0.012829,-0.672556,0.73979,1.428749,0.34431,0.716732,-0.056229,-0.060694,0.875429,-0.476213,1.209663,0.125261,0.72983,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
74,0.616667,0.01466,-0.013203,-0.672386,0.739938,1.428627,0.344295,0.716716,-0.067713,-0.064163,0.871506,-0.48143,1.20975,0.117284,0.725584,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
75,0.625,0.014696,-0.013844,-0.672293,0.740009,1.428514,0.344307,0.716675,-0.07821,-0.066067,0.866751,-0.488119,1.209852,0.109369,0.721201,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
76,0.633333,0.01541,-0.016153,-0.672815,0.739474,1.428115,0.344339,0.716721,-0.088462,-0.068446,0.861057,-0.496054,1.209842,0.101669,0.717208,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
77,0.641667,0.016302,-0.016797,-0.673533,0.738787,1.427935,0.344423,0.716693,-0.097646,-0.072386,0.855189,-0.503863,1.209945,0.094259,0.71337,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
78,0.65,0.017675,-0.01729,-0.674246,0.738093,1.427809,0.344508,0.716688,-0.106125,-0.075092,0.848729,-0.512599,1.210149,0.087068,0.709764,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
79,0.658333,0.018399,-0.017973,-0.674519,0.73781,1.427887,0.344512,0.716759,-0.114184,-0.077457,0.842556,-0.520636,1.210414,0.080317,0.706313,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
80,0.666667,0.018615,-0.018097,-0.674467,0.737848,1.427992,0.344532,0.716773,-0.120553,-0.080365,0.836925,-0.527793,1.210875,0.073858,0.702915,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
81,0.675,0.018533,-0.018302,-0.674435,0.737875,1.428114,0.344615,0.716724,-0.126401,-0.083021,0.831283,-0.534882,1.211254,0.067786,0.699757,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
82,0.683333,0.019192,-0.019227,-0.674767,0.737531,1.428028,0.344643,0.716734,-0.129308,-0.086474,0.825867,-0.541983,1.211743,0.061967,0.696669,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
83,0.691667,0.019381,-0.019464,-0.674905,0.737393,1.428082,0.344693,0.716703,-0.131988,-0.08772,0.821172,-0.548235,1.212341,0.056587,0.693673,-0.04518,0.033656,-0.813227,0.579213,1.403454,0.338704,1.598904,stair_decsent
