Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
23,0.191667,-0.00851,-0.018474,-0.868049,-0.496062,-0.60611,1.091493,0.047761,0.069248,0.062997,-0.683515,-0.723909,-0.268401,1.201527,0.04986,-0.00141,-0.002657,0.799302,0.600922,-0.472452,1.166069,0.952756,stand
24,0.2,-0.008609,-0.018595,-0.868054,-0.496047,-0.606099,1.091501,0.04773,0.069232,0.063068,-0.683522,-0.723897,-0.268408,1.201521,0.049848,-0.001353,-0.002571,0.799472,0.600697,-0.472279,1.166201,0.952723,stand
25,0.208333,-0.008588,-0.018708,-0.868047,-0.496055,-0.606096,1.0915,0.04776,0.069176,0.063069,-0.683559,-0.723867,-0.268405,1.201513,0.049847,-0.001357,-0.002453,0.799574,0.600561,-0.472069,1.166376,0.952712,stand
26,0.216667,-0.008546,-0.018741,-0.868062,-0.496029,-0.606093,1.091515,0.047789,0.069105,0.063186,-0.68362,-0.723806,-0.268403,1.201512,0.049836,-0.001791,-0.002597,0.800143,0.599801,-0.472029,1.166163,0.952752,stand
27,0.225,-0.00881,-0.018984,-0.868051,-0.496033,-0.606067,1.09151,0.047724,0.06908,0.063212,-0.683648,-0.72378,-0.268395,1.201501,0.049829,-0.001476,-0.002753,0.800304,0.599587,-0.47174,1.166366,0.952632,stand
28,0.233333,-0.008888,-0.019351,-0.868033,-0.49605,-0.606075,1.091513,0.047759,0.068802,0.063131,-0.683642,-0.723819,-0.268399,1.201494,0.049808,-0.001458,-0.002839,0.800523,0.599293,-0.471534,1.166501,0.95258,stand
29,0.241667,-0.009036,-0.019224,-0.868088,-0.495956,-0.606061,1.091508,0.04774,0.069233,0.064095,-0.683804,-0.72354,-0.268335,1.201471,0.049767,-0.001548,-0.002851,0.800701,0.599055,-0.471341,1.166619,0.952542,stand
30,0.25,-0.009102,-0.019258,-0.868121,-0.495895,-0.606041,1.091507,0.047727,0.068671,0.063184,-0.683731,-0.723743,-0.268385,1.201483,0.049785,-0.001612,-0.002815,0.800849,0.598858,-0.471117,1.16677,0.952484,stand
31,0.258333,-0.009162,-0.019305,-0.868114,-0.495905,-0.60603,1.091506,0.047727,0.068479,0.063146,-0.683767,-0.72373,-0.268385,1.201479,0.049785,-0.001737,-0.002754,0.80102,0.598629,-0.470934,1.166868,0.952468,stand
32,0.266667,-0.009213,-0.019384,-0.868109,-0.495909,-0.606021,1.091509,0.047723,0.068776,0.064016,-0.683911,-0.72349,-0.268323,1.201455,0.049738,-0.00189,-0.002667,0.801161,0.59844,-0.470754,1.166965,0.952468,stand
