Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z,gait_type
0,0.0,0.026271,-0.003764,0.783572,0.620734,1.315344,-0.299948,0.032887,0.019402,0.018212,-0.572081,-0.819765,1.616449,-0.304799,0.028733,-0.01475,0.001921,0.710266,0.703776,1.390816,-0.340746,0.938326,step_acsent
1,0.008333,0.026183,-0.003927,0.783473,0.620861,1.315336,-0.299949,0.032895,0.019622,0.018283,-0.572065,-0.81977,1.616463,-0.30479,0.028743,-0.015685,0.00289,0.710038,0.703983,1.390267,-0.340226,0.938143,step_acsent
2,0.016667,0.02636,-0.003942,0.783404,0.620942,1.315322,-0.299935,0.032871,0.019764,0.018501,-0.57206,-0.819765,1.616467,-0.304783,0.028751,-0.016451,0.003606,0.709999,0.704001,1.389737,-0.339979,0.938063,step_acsent
3,0.025,0.026553,-0.00419,0.783383,0.620958,1.315323,-0.299946,0.032832,0.019775,0.018611,-0.571951,-0.819838,1.616442,-0.304776,0.028725,-0.015146,0.003488,0.7101,0.70393,1.389155,-0.339533,0.937964,step_acsent
4,0.033333,0.026921,-0.004226,0.783303,0.621042,1.315305,-0.299913,0.032787,0.019796,0.018438,-0.571829,-0.819927,1.616438,-0.304776,0.028715,-0.013734,0.003302,0.710056,0.704004,1.388541,-0.339064,0.937892,step_acsent
5,0.041667,0.026569,-0.0044,0.783254,0.621118,1.315305,-0.29991,0.032826,0.020074,0.018654,-0.571732,-0.819983,1.616435,-0.304762,0.028718,-0.01339,0.003878,0.710427,0.703633,1.388014,-0.338763,0.938005,step_acsent
6,0.05,0.025407,-0.004817,0.783202,0.621229,1.315326,-0.299941,0.032919,0.020109,0.018782,-0.571678,-0.820017,1.616421,-0.304744,0.028694,-0.014372,0.005235,0.71067,0.70336,1.387421,-0.338345,0.938278,step_acsent
7,0.058333,0.024173,-0.004819,0.783217,0.62126,1.315331,-0.300034,0.033075,0.020272,0.018748,-0.571515,-0.820127,1.616417,-0.304735,0.028679,-0.013187,0.004502,0.710781,0.703276,1.386684,-0.33806,0.938291,step_acsent
8,0.066667,0.021901,-0.005572,0.783193,0.621368,1.315409,-0.30014,0.033198,0.020138,0.018721,-0.571328,-0.820261,1.616388,-0.304694,0.028654,-0.010762,0.003468,0.711393,0.702703,1.385974,-0.337508,0.93844,step_acsent
9,0.075,0.019395,-0.005561,0.782855,0.621877,1.315442,-0.300335,0.033409,0.019989,0.018926,-0.57122,-0.820335,1.616385,-0.304678,0.028618,-0.010884,0.004622,0.711306,0.702783,1.385378,-0.337171,0.938536,step_acsent
10,0.083333,0.017346,-0.00531,0.782616,0.62224,1.315425,-0.300554,0.033562,0.02015,0.018711,-0.571106,-0.820416,1.616381,-0.304653,0.028601,-0.010684,0.005726,0.711028,0.703059,1.38458,-0.33691,0.938777,step_acsent
11,0.091667,0.016231,-0.00562,0.782309,0.622654,1.315391,-0.300655,0.033617,0.020022,0.01857,-0.571039,-0.820468,1.616414,-0.30463,0.02858,-0.011716,0.006299,0.710918,0.703149,1.383815,-0.336519,0.938772,step_acsent
12,0.1,0.01612,-0.005471,0.782038,0.622998,1.31536,-0.300714,0.033607,0.019841,0.018566,-0.57091,-0.820563,1.616394,-0.30458,0.028549,-0.011295,0.005774,0.711269,0.702805,1.383128,-0.336056,0.938521,step_acsent
13,0.108333,0.016029,-0.005647,0.781899,0.623174,1.315358,-0.30073,0.033587,0.019824,0.018506,-0.570972,-0.820522,1.616412,-0.304515,0.02855,-0.009731,0.004924,0.710917,0.703191,1.382318,-0.335744,0.938271,step_acsent
14,0.116667,0.015913,-0.005955,0.781841,0.623247,1.315365,-0.300703,0.033561,0.019999,0.019006,-0.571319,-0.820265,1.616458,-0.304405,0.028584,-0.007366,0.003165,0.710978,0.703168,1.381531,-0.335433,0.937956,step_acsent
15,0.125,0.016316,-0.00586,0.781735,0.623369,1.315362,-0.300654,0.033528,0.019849,0.018721,-0.571264,-0.820313,1.616404,-0.304358,0.028569,-0.006984,0.003297,0.710658,0.703496,1.38068,-0.335098,0.937694,step_acsent
