frame_id,timestamp,gait_type,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.004167,stand,-0.1267098632109632,0.0974322054235436,0.0071994240460701,0.129300771315278,0.0159837286467009,-1.0034027932103335,-0.0100791936645302,-0.0331173506119442,-0.0095992320614351,-0.0026397888168906,0.0038396928245778,-0.0033597312215023,-0.147502,-0.06634,-0.923326,0.028658,0.0888799999999999,-0.919802,0.1761600000000001,0.15522,0.0035239999999999,0.9401275821097052,0.9551857985732444,double,-0.919802
2,0.008333,stand,-0.13082093134902,0.0655304848775726,0.0091214594335318,0.2126169602480715,-0.0267773920760082,-1.0587264590925938,-0.0124819971195249,-0.0350456072971626,-0.011521843494959,-0.0031204992798945,0.0019203072491617,-0.003600576092175,-0.1470089999999999,-0.066759,-0.923412,0.02919,0.088615,-0.919855,0.176199,0.155374,0.0035569999999999,0.9350909242683554,0.955868256297383,double,-0.919855
3,0.0125,stand,-0.1310295176385734,0.0916726661867301,-0.0283177345812484,-0.0673293183889819,-0.1142839251038956,-0.8803086620290788,-0.015838732901397,-0.0386369090472415,-0.0184785217182627,-0.0052795776337812,0.0021598272138317,-0.0023998080153586,-0.1465290000000001,-0.0673019999999999,-0.923371,0.029714,0.0882419999999999,-0.919747,0.1762430000000001,0.1555439999999999,0.0036239999999999,0.9238945912723142,0.9534457875704186,double,-0.919747
4,0.016667,stand,-0.1226301895848692,0.0825533957283177,-0.0112790976721908,-0.0492437432665687,0.0234029687887282,-0.8824301695997154,-0.0184785217182343,-0.0362371010319203,-0.0151187904967599,-0.0067194624430379,0.0016798656107461,-0.0033597312215023,-0.1460949999999998,-0.0677969999999998,-0.923387,0.030197,0.087905,-0.919714,0.1762919999999999,0.1557019999999999,0.003673,0.9276743267847558,0.9504398144689196,double,-0.919714
5,0.020833,stand,-0.1291406625059835,0.0638502160345894,-0.0307249159865619,-0.0166044983928003,-0.0192867082645799,-0.932530979202511,-0.0177628420547598,-0.0345655304849121,-0.0170427268362937,-0.0038406144983235,0.0004800768123037,0.0,-0.145631,-0.0682070000000001,-0.92333,0.0307189999999999,0.0876409999999999,-0.919586,0.17635,0.1558480000000001,0.003744,0.929274611788068,0.9561091616672188,double,-0.919586
6,0.025,stand,-0.1355891528677529,0.0823134149268015,-0.038876889848811,-0.2483761241012104,-0.1464637625594193,-0.8716567551689782,-0.0155987520998276,-0.0302375809934841,-0.0167986561075115,-0.0033597312214923,0.0002399808015161,-0.0016798656107511,-0.1451310000000001,-0.0686759999999999,-0.923238,0.0312699999999999,0.0872989999999999,-0.919431,0.176401,0.1559749999999998,0.003807,0.9367582412389692,0.9556567470037134,double,-0.919431
7,0.029167,stand,-0.1291096712262845,0.0856731461482939,-0.0148788096952259,-0.2068127217416883,-0.0504763955565616,-0.6906218023177418,-0.0139188864890548,-0.0321574274058263,-0.0191984641228702,-0.004079673626094,0.0023998080153744,-0.0045596352291816,-0.144651,-0.0691669999999999,-0.923256,0.0317909999999999,0.086952,-0.919388,0.176442,0.156119,0.0038679999999999,0.9334080301151249,0.9503664251358928,double,-0.919388
8,0.033333,stand,-0.1305808929428947,0.0655304848775726,-0.0144023043686867,-0.0387153087623384,0.0893543149545387,-0.7813729282910075,-0.0124819971195249,-0.0352856457033411,-0.0177628420547286,-0.0060009601536105,0.0019203072491617,-0.00048007681229,-0.1441589999999999,-0.069587,-0.92327,0.03231,0.086687,-0.91933,0.176469,0.1562740000000001,0.00394,0.9309509915861932,0.9500683576723782,double,-0.91933
9,0.0375,stand,-0.1281497480201667,0.0763138948884186,-0.0189584833213466,-0.1066017157420544,-0.0017568847966409,-0.7168934602031791,-0.0100791936645302,-0.0316774658026875,-0.0146388288936885,-0.0035997120230617,0.0009599232061444,-0.0009599232061432,-0.143667,-0.0700369999999999,-0.923252,0.032829,0.086373,-0.919255,0.176496,0.1564099999999999,0.003997,0.9394619656747778,0.9536180251411992,double,-0.919255
10,0.041667,stand,-0.1247900167986742,0.0460763138948811,-0.0182385409167182,-0.3169039661008775,0.025597278490576,-0.8504368118375761,-0.0055195584352973,-0.0283177345812484,-0.017518598512119,-0.0026397888168906,0.0011999040076606,0.0,-0.1431699999999998,-0.0703469999999999,-0.923249,0.033338,0.0861859999999999,-0.919179,0.1765079999999999,0.1565329999999999,0.00407,0.9437451011771836,0.9544671682371222,double,-0.919179
11,0.045833,stand,-0.1361017762842018,0.0597695631300873,-0.0163226116178485,-0.0386872396718143,-0.0070846620397961,-0.7509196606232513,0.002160345655287,-0.0228036485837629,-0.0127220355256843,-0.0048007681228778,0.0009601536245808,-0.0050408065290446,-0.1425939999999999,-0.0706909999999998,-0.923234,0.0338850000000001,0.085941,-0.919132,0.176479,0.1566319999999998,0.0041019999999999,0.9563306721549182,0.947268301193572,double,-0.919132
12,0.05,stand,-0.1331893448523783,0.0662347012239416,-0.011039116870648,-0.1468358402635275,0.0095195956377972,-0.6055248054203192,0.0052795776337812,-0.0218382529397799,-0.0107991360691144,-0.0043196544276634,0.0026397888168906,-0.0009599232061436,-0.142017,-0.071058,-0.923233,0.0344219999999999,0.0856759999999998,-0.91909,0.176439,0.1567339999999999,0.004143,0.9584533538159222,0.9499823227927218,double,-0.91909
13,0.054167,stand,-0.1343892488601191,0.0513558915286624,-0.0095992320614446,-0.0961742167958093,0.0045210931528404,-0.6191336414253771,0.006959443244554,-0.017038636909031,-0.0083993280537553,-0.0050395968322651,0.0019198464122889,-0.0023998080153586,-0.1414279999999999,-0.0713429999999999,-0.923228,0.034961,0.0854699999999999,-0.91906,0.1763889999999999,0.1568129999999998,0.004168,0.966281487538307,0.9484820879319488,double,-0.91906
14,0.058333,stand,-0.1509841574651921,0.0266442630820864,0.0069611137782181,-0.0192386194395597,0.10423746807657,-0.6009654620151614,0.0067210753720395,-0.0148823811809905,-0.0072011521843496,-0.0026404224675907,0.0028804608737426,-0.0016802688430148,-0.1407709999999999,-0.0715159999999999,-0.923287,0.035579,0.0853709999999999,-0.919096,0.17635,0.1568869999999999,0.004191,0.9702550323324776,0.9510008476769616,double,-0.919096
