frame_id,timestamp,gait_type,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.004167,stand,-0.034797216222717,0.0926325893928479,0.0047996160307223,-0.0426507520897393,-0.1395137042876604,0.0528640699533861,0.0007199424046016,-0.0014398848092033,-0.0011999040076793,-0.0002399808015694,0.0,0.0011999040076797,-0.0492620000000001,-0.142703,-0.928959,0.0263789999999999,0.1380079999999999,-0.919764,0.075641,0.2807109999999999,0.009195,0.9966536276036732,0.9060105553501232,double,-0.919764
2,0.008333,stand,-0.0434469515122387,0.0943350936149461,0.0088814210273532,-0.1014847983128567,-0.1172441789422529,-0.0253064202014297,-0.0012001920306794,-0.003360537686073,0.0019203072491597,0.001440230436858,-0.0002400384061518,0.0004800768122896,-0.0490859999999999,-0.14311,-0.928988,0.0265659999999998,0.137614,-0.919799,0.0756519999999998,0.2807240000000001,0.009189,0.9932461421762572,0.9055483404395142,double,-0.919799
3,0.0125,stand,-0.0242380609551544,0.0837532997360049,-0.0187185025198038,0.1741399354471952,-0.0705951805447906,0.1060855763798641,0.0016798656107195,-0.0011999040076339,0.0028797696184304,0.0002399808015694,-0.0007199424046016,0.0,-0.0489779999999999,-0.1434639999999998,-0.928898,0.0266680000000001,0.1372620000000001,-0.919721,0.0756460000000001,0.2807259999999999,0.0091769999999999,0.9940945432125003,0.9069651901207147,double,-0.919721
4,0.016667,stand,-0.0386369090472415,0.0837532997360582,-0.012958963282937,0.0586630832153425,-0.0214552235875414,-0.0160115609514316,0.0004799616030855,-0.0014398848092566,0.0007199424046075,-0.0004799616030855,-0.0007199424046016,0.0002399808015361,-0.048815,-0.1438190000000001,-0.928841,0.0268269999999999,0.1369099999999999,-0.919666,0.0756419999999999,0.2807290000000001,0.009175,0.9972002239820158,0.9067534567687444,double,-0.919666
5,0.020833,stand,-0.029764762361981,0.0868939030244775,-0.0105616898703631,0.0819680243743434,-0.0179295087524392,0.0481951359951171,-0.000720115218429,-0.0002400384061252,0.00096015362458,0.0012001920307327,-0.0004800768123037,0.0004800768122896,-0.048694,-0.144182,-0.928793,0.0269559999999999,0.1365459999999999,-0.91962,0.07565,0.280728,0.009173,0.9979600658051038,0.9059718072305224,double,-0.91962
6,0.025,stand,-0.0304775617950535,0.0895128389728717,-0.0035997120230617,0.0254785132732127,-0.0507520939910476,0.0569612887918726,0.0011999040076872,-0.0026397888168906,0.0069594432445403,0.0014398848092033,0.0,-0.0002399808015352,-0.0485619999999999,-0.1445659999999999,-0.928749,0.0270889999999999,0.136173,-0.919606,0.0756509999999999,0.2807389999999999,0.009143,0.9874343827914532,0.9061370896207308,double,-0.919606
7,0.029167,stand,-0.0343172546196314,0.0976721862251131,-0.0019198464122622,0.0333201758575321,-0.1382137368868801,0.0876961553551742,0.0033597312214923,-0.002159827213805,0.0079193664506839,0.0007199424046016,0.0004799616030855,-0.0011999040076797,-0.048405,-0.1449819999999999,-0.928708,0.0272349999999998,0.135768,-0.919603,0.0756399999999999,0.2807499999999999,0.009105,0.985217407717335,0.9064844316442776,double,-0.919603
8,0.033333,stand,-0.0393662986077899,0.0996159385501809,-0.0043206913106273,-0.0022335173908917,-0.2269842605388612,0.0560864009656308,-0.0012001920307327,0.0019203072491617,0.0074411905904944,0.0009601536246075,-0.0002400384061518,0.00096015362458,-0.048246,-0.145389,-0.928659,0.027403,0.1353519999999999,-0.919581,0.075649,0.2807409999999999,0.009078,0.9870364444342912,0.9069218072305076,double,-0.919581
9,0.0375,stand,-0.025917926565874,0.0952723782097386,-0.0119990400767925,0.0626185982492806,-0.0353565817119698,0.0737737325751819,0.0004799616030855,-0.0011999040076872,0.0043196544276459,0.0004799616030322,-0.0004799616030855,0.0009599232061436,-0.0481359999999999,-0.145791,-0.928591,0.0275129999999999,0.1349529999999998,-0.919527,0.0756489999999998,0.2807439999999999,0.0090639999999999,0.9924852834860926,0.9074005649605938,double,-0.919527
10,0.041667,stand,-0.0321574274058263,0.0955123590112546,-0.0127189824813942,0.053786959347849,-0.0544379059101417,0.0366026651833062,-0.0007199424046016,-0.0014398848092566,0.0047996160307177,0.0007199424046549,-0.0011999040076606,-0.0002399808015361,-0.0480049999999998,-0.146195,-0.928518,0.0276500000000001,0.13455,-0.919475,0.075655,0.2807450000000001,0.0090429999999999,0.9915626657428304,0.9072037573861556,double,-0.919475
11,0.045833,stand,-0.0434469515122388,0.0957753240518575,-0.0033605376860198,-0.0153967106291335,0.0426978389650729,-0.0352035089307045,0.0019203072491617,-0.001440230436858,0.0036005760921746,0.0016802688429832,-0.0009601536245808,0.00096015362458,-0.0478159999999998,-0.1466,-0.928489,0.027838,0.134147,-0.919457,0.0756539999999998,0.2807470000000001,0.0090319999999999,0.9927877434880354,0.9060794239078654,double,-0.919457
