frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z
20,0.083333,walk,-1.378619,-0.152486,0.94457,-0.012449,0.018009,0.012467,0.0064810369659143,-0.133701392222756,-0.0043206913106006,-0.0479953581552788,0.1264018955766986,-0.0977184472224331,-0.001440230436858,0.0062409985597691,0.0007201152184348,-0.002160345655287,-0.0048007681229044,0.0036005760921741,-0.0127539999999999,0.176942,-0.923485,0.002069,-0.1352789999999999,-0.92556
21,0.0875,walk,-1.378617,-0.153071,0.944556,-0.012487,0.018373,0.012353,0.0004799616030855,-0.1403887688984889,-0.0033597312215189,-0.0214320327751617,0.173793884294763,-0.0565088057357877,0.0014398848092033,0.0057595392368609,0.0021598272138233,-0.0016798656107728,-0.0043196544276501,0.0,-0.01275,0.177551,-0.923462,0.0020599999999999,-0.134712,-0.925546
22,0.091667,walk,-1.378582,-0.153661,0.944552,-0.012473,0.018687,0.012187,0.0083993280537574,-0.1415886729061624,-0.0009599232061444,0.0033677809173013,0.1497826918862564,-0.0816295403677026,0.0,0.0069594432445407,0.0011999040076789,-0.0019198464122889,-0.0050395968322517,0.0009599232061436,-0.012785,0.17817,-0.923453,0.0020169999999999,-0.134143,-0.925538
23,0.095833,walk,-1.37854,-0.154277,0.944554,-0.012529,0.01903,0.012139,0.0100816130580593,-0.1478636581853108,0.0004800768123037,-0.0293488451667477,0.1640512689802241,-0.0245525445223632,-0.0002400384061252,0.0028804608737401,-0.0007201152184348,-0.0026404224675907,-0.0045607297167525,-0.0002400384061452,-0.0128279999999998,0.178798,-0.923458,0.001964,-0.133546,-0.925541
24,0.1,walk,-1.378499,-0.154883,0.944572,-0.012526,0.019396,0.012076,0.009839212863014,-0.1454283657307403,0.0043196544276367,-0.0013105191085745,0.1753100538878538,-0.0324150544365291,0.0035997120230084,0.0050395968322534,0.0038396928245737,-0.0023998080153744,-0.003599712023035,0.0,-0.0128540000000001,0.179425,-0.92346,0.0019129999999998,-0.132955,-0.925559
25,0.104167,walk,-1.378432,-0.155506,0.944547,-0.012593,0.019698,0.012035,0.0160787137028599,-0.1495080393568547,-0.0059995200383829,-0.0343146700114217,0.1443202555142812,-0.0208288720604102,-0.0019198464122889,0.0045596352291812,-0.0002399808015352,-0.0033597312214923,-0.0035997120230484,0.0014398848092158,-0.0129289999999999,0.180067,-0.923436,0.001832,-0.132347,-0.925528
26,0.108333,walk,-1.378389,-0.156104,0.944522,-0.012596,0.020013,0.011993,0.0103216514642379,-0.1435429668746968,-0.0060009601536372,-0.0036931666653942,0.150957464271741,-0.0219975946991808,-0.0004800768122504,0.0105616898703789,0.0012001920307244,-0.0012001920307327,-0.0019203072491484,0.0007201152184348,-0.0129739999999998,0.1807089999999999,-0.923406,0.001784,-0.1317569999999999,-0.9255
27,0.1125,walk,-1.378334,-0.156695,0.944491,-0.01256,0.020384,0.011928,0.0131989440845064,-0.1418286537077052,-0.0074394048476129,0.0144763728296079,0.1778750779379787,-0.0337407198444069,0.0023998080153212,-0.00287976961843,0.0019198464122872,-0.0016798656107195,-0.0019198464122889,0.0007199424046075,-0.0130190000000001,0.181288,-0.923367,0.001722,-0.1311739999999999,-0.925466
28,0.116667,walk,-1.378268,-0.157302,0.944493,-0.012716,0.020581,0.011815,0.0158387329013437,-0.1456683465322764,0.0004799616030855,-0.077110760328485,0.0929932697983581,-0.0538490032249363,-0.0035997120230084,0.0050395968322534,0.0007199424046075,-0.0021598272138583,-0.0038396928245778,0.0007199424046075,-0.0130999999999998,0.181916,-0.923366,0.0016469999999999,-0.130583,-0.925465
29,0.120833,walk,-1.378207,-0.157943,0.944486,-0.012762,0.020888,0.011809,0.0146423427748653,-0.1538646183389352,-0.0016802688430099,-0.0239127679440169,0.1470918385819911,-0.0042650116092393,0.0,0.0033605376860298,0.0002400384061452,-0.0019203072491617,-0.0038406144983235,0.0007201152184348,-0.0131609999999999,0.182571,-0.923358,0.0015779999999998,-0.129958,-0.925455
30,0.125,walk,-1.378118,-0.1586,0.944478,-0.012866,0.021047,0.011804,0.0213582913366944,-0.1576673866090689,-0.0019198464122889,-0.0508795132568449,0.0757157498296601,-0.0023018546818982,-0.00287976961846,0.0009599232061436,0.0,-0.002159827213805,-0.0004799616030722,-0.0002399808015361,-0.0132620000000001,0.183232,-0.92335,0.0014799999999999,-0.129303,-0.925448
31,0.129167,walk,-1.378065,-0.159256,0.944471,-0.012804,0.021395,0.011814,0.0127189824813675,-0.1574274058075395,-0.0016798656107728,0.0278327079120866,0.1674479476440067,0.0020622065768831,0.0,0.0057595392368609,0.001439884809215,-0.0011999040076872,-0.0004799616030722,0.0004799616030722,-0.0133149999999999,0.183912,-0.923337,0.001422,-0.128649,-0.925439
32,0.133333,walk,-1.378012,-0.159938,0.944446,-0.012631,0.021785,0.011826,0.0127220355257034,-0.1637061929908755,-0.0060009601536105,0.0808961052125662,0.1882752533708729,0.001618539550405,0.0009601536246075,0.0048007681228994,0.0007201152184348,-0.004320691310574,-0.0160825732117099,-0.0064810369659143,-0.0133639999999999,0.184614,-0.923309,0.0013510000000001,-0.128034,-0.925441
33,0.1375,walk,-1.377947,-0.16059,0.944419,-0.012695,0.022221,0.011847,0.0155987520998276,-0.156467482601395,-0.0064794816414684,-0.0330275213579673,0.2090613851796445,0.0081637087305406,-0.0016798656107728,0.004559635229182,0.0009599232061436,-0.0035997120230617,-0.0067194624429979,0.0069594432445398,-0.013436,0.185285,-0.923278,0.001271,-0.1274099999999999,-0.925385
34,0.141667,walk,-1.377815,-0.161242,0.944401,-0.012761,0.02245,0.011814,0.031677465802741,-0.1564674826013894,-0.0043196544276368,-0.0333493942050655,0.1093444326519443,-0.0164954163254429,-0.0007199424046016,0.0031197504199662,0.0023998080153586,-0.0083993280537574,-0.0095992320614447,0.0091192704583633,-0.013571,0.18595,-0.92325,0.0011039999999999,-0.126798,-0.925329
35,0.145833,walk,-1.37772,-0.161944,0.944393,-0.012832,0.0226,0.011771,0.0228036485837628,-0.16850696111378,-0.0019203072491617,-0.0354103959545279,0.0713594719863617,-0.0207660103790925,-0.002880460873716,-0.0024003840614497,0.0040806529044646,-0.003600576092145,-0.0098415746519341,0.0096015362457997,-0.0136779999999998,0.186642,-0.923225,0.0009940000000001,-0.1261369999999999,-0.925281
36,0.15,walk,-1.377614,-0.162642,0.944366,-0.012845,0.022697,0.011639,0.0254379649628417,-0.167506599472043,-0.0064794816414684,-0.0082229559574185,0.0456617605443207,-0.0637798966731912,0.0004799616030322,0.0059995200383962,-0.0007199424046075,-0.0033597312215456,-0.0081593472522279,0.0047996160307173,-0.0137820000000001,0.187365,-0.923201,0.0008739999999998,-0.125473,-0.925234
