frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z
1,0.004167,stand,0.606844,-1.248823,0.927627,0.009087,0.005975,0.002132,-0.0014398848092033,-0.0014398848092033,-0.0031197504199761,0.0066103591000704,-0.0085063141468069,0.0159574455774358,-0.0019198464122889,0.0007199424046016,0.0004799616030714,-0.0007199424046016,0.0004799616030322,0.0004799616030718,-0.001918,0.1670309999999999,-0.918752,-0.00413,-0.16724,-0.922423
2,0.008333,stand,0.606833,-1.248824,0.927643,0.009096,0.005984,0.002125,-0.0026404224676174,-0.0002400384061252,0.0038406144983235,-0.0043540813763553,-0.004283547526997,0.0033727553493479,0.0,0.0,0.00096015362458,0.0002400384061518,-0.0002400384061252,0.0012001920307248,-0.0019069999999999,0.1670319999999998,-0.918764,-0.0041179999999999,-0.16724,-0.922434
3,0.0125,stand,0.60682,-1.248828,0.927634,0.009134,0.006022,0.002084,-0.0031197504199495,-0.0009599232061711,-0.0021598272138317,-0.0183939309596928,-0.0180196663333212,0.0197339728362222,0.0011999040076872,-0.0002399808015161,-0.0019198464122868,-0.0004799616030589,0.0002399808015161,-0.0016798656107511,-0.001889,0.167035,-0.918763,-0.0041069999999999,-0.167235,-0.922432
4,0.016667,stand,0.606812,-1.248834,0.927643,0.009128,0.006045,0.002046,-0.0019198464122889,-0.0014398848092033,0.0021598272138317,0.0027467529319763,-0.0108778425465225,0.0183555825394329,-0.0002399808015427,-0.0009599232061178,0.0009599232061432,-0.0002399808015427,0.0007199424046016,-0.0004799616030718,-0.001882,0.1670370000000001,-0.918768,-0.0040999999999999,-0.1672260000000001,-0.922443
5,0.020833,stand,0.606806,-1.248839,0.927642,0.009129,0.006051,0.002028,-0.0014402304368846,-0.0012001920307327,-0.0002400384061518,-0.0005381775955598,-0.0028004213364494,0.0086642371089895,-0.0004800768122771,-0.0004800768123037,-0.0012001920307248,0.000720115218429,-0.000720115218429,0.00096015362458,-0.0018779999999999,0.16704,-0.918772,-0.0040909999999999,-0.167224,-0.922438
6,0.025,stand,0.606792,-1.248845,0.927645,0.009155,0.006091,0.001995,-0.0033597312214923,-0.0014398848092033,0.0007199424046283,-0.0126129965418887,-0.0190273654110304,0.0159374955345735,0.0,0.0007199424046016,0.0004799616030718,-0.0009599232061444,0.0002399808015694,0.0002399808015359,-0.0018639999999999,0.167049,-0.918773,-0.004081,-0.1672169999999999,-0.92244
7,0.029167,stand,0.606785,-1.248853,0.927639,0.00915,0.00609,0.001979,-0.0016798656107461,-0.0019198464122889,-0.00143988480923,0.0023538396955081,0.0005454485598213,0.0076891264467205,-0.0016798656107461,0.0007199424046016,0.0004799616030718,-0.0007199424046016,0.0019198464122889,-0.0007199424046077,-0.0018639999999999,0.16706,-0.918765,-0.0040769999999999,-0.1672009999999999,-0.922437
8,0.033333,stand,0.606777,-1.248858,0.927645,0.009166,0.006117,0.001966,-0.0019203072491617,-0.0012001920307327,0.0014402304368846,-0.0077488049614634,-0.0128918874501503,0.0063114857340059,0.0024003840614389,-0.0002400384061252,-0.0002400384061448,0.0,-0.0012001920307327,0.0014402304368698,-0.001846,0.1670640000000001,-0.918772,-0.0040689999999999,-0.1672009999999999,-0.922437
9,0.0375,stand,0.606762,-1.248866,0.927646,0.009131,0.006111,0.001931,-0.003599712023035,-0.0019198464122889,0.0002399808015161,0.0167049034257024,0.003003474812031,0.016874904886529,-0.0031197504199761,0.0002399808015161,-0.0011999040076797,0.0007199424046016,-0.0007199424046016,-0.0004799616030718,-0.001844,0.167073,-0.918778,-0.004051,-0.1671959999999999,-0.92244
10,0.041667,stand,0.606757,-1.248872,0.927648,0.009155,0.006138,0.001912,-0.0011999040076872,-0.0014398848092033,0.0004799616030855,-0.0116035007590086,-0.0128555840425866,0.0091657152946313,0.0011999040076872,-0.0004799616030855,0.0002399808015361,0.0002399808015427,0.0,0.0007199424046077,-0.001834,0.1670769999999999,-0.918779,-0.0040449999999999,-0.1671899999999999,-0.922439
11,0.045833,stand,0.606748,-1.248875,0.927644,0.009158,0.006169,0.001895,-0.0021603456553136,-0.000720115218429,-0.0009601536245808,-0.0015186899210038,-0.0148039829686276,0.0082882052282463,0.0009601536245808,-0.0002400384061252,0.0,0.0004800768122771,0.0004800768122504,-0.000720115218435,-0.0018209999999999,0.1670789999999999,-0.918775,-0.0040339999999999,-0.1671850000000001,-0.922438
12,0.05,stand,0.606741,-1.248878,0.927651,0.009181,0.006222,0.001861,-0.0016798656107461,-0.0007199424046016,0.0016798656107461,-0.0111872964302358,-0.0252659967621031,0.0164825270773202,0.0,0.0002399808015161,0.0019198464122868,0.0026397888168906,-0.0011999040076339,0.001919846412287,-0.0018139999999999,0.1670829999999998,-0.918774,-0.004016,-0.1671869999999999,-0.922437
13,0.054167,stand,0.606728,-1.248885,0.927649,0.009192,0.006224,0.00185,-0.0031197504199495,-0.0016798656107728,-0.0004799616030855,-0.005313877970472,-0.0009015651259232,0.0052552055773782,0.0002399808015427,0.0002399808015694,-0.0019198464122868,-0.0026397888168906,0.0009599232061178,-0.0026397888168945,-0.0018,0.1670910000000001,-0.91878,-0.004014,-0.167176,-0.922446
14,0.058333,stand,0.606722,-1.248891,0.927655,0.009178,0.006249,0.001834,-0.0014402304368846,-0.001440230436858,0.0014402304368846,0.0066506360651041,-0.0119429844939667,0.0078328935718374,0.0004800768122771,-0.0002400384061785,-0.0002400384061452,0.0,0.0002400384061252,0.00048007681229,-0.001792,0.1670959999999999,-0.918787,-0.004008,-0.1671690000000001,-0.92245
15,0.0625,stand,0.606712,-1.248902,0.927652,0.009183,0.006263,0.001817,-0.0023998080153478,-0.0026397888168906,-0.0007199424046016,-0.0024629662215905,-0.0066397463630434,0.0082055018394601,-0.0002399808015161,0.0,0.0011999040076797,0.0009599232061444,0.0,-0.0007199424046077,-0.0017829999999999,0.1671069999999999,-0.918779,-0.003994,-0.1671580000000001,-0.92245
