frame_id,timestamp,gait_type,root_position_x,root_position_y,root_position_z,root_orientation_x,root_orientation_y,root_orientation_z,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z
1,0.004167,stand,1.239255,-1.086862,0.933792,-0.015838,-0.02366,0.88535,-0.1267098632109632,0.0974322054235436,0.0071994240460701,0.129300771315278,0.0159837286467009,-1.0034027932103335,-0.0100791936645302,-0.0331173506119442,-0.0095992320614351,-0.0026397888168906,0.0038396928245778,-0.0033597312215023,-0.147502,-0.06634,-0.923326,0.028658,0.0888799999999999,-0.919802
2,0.008333,stand,1.23871,-1.086589,0.93383,-0.015734,-0.024043,0.884313,-0.13082093134902,0.0655304848775726,0.0091214594335318,0.2126169602480715,-0.0267773920760082,-1.0587264590925938,-0.0124819971195249,-0.0350456072971626,-0.011521843494959,-0.0031204992798945,0.0019203072491617,-0.003600576092175,-0.1470089999999999,-0.066759,-0.923412,0.02919,0.088615,-0.919855
3,0.0125,stand,1.238164,-1.086207,0.933712,-0.016054,-0.024001,0.883456,-0.1310295176385734,0.0916726661867301,-0.0283177345812484,-0.0673293183889819,-0.1142839251038956,-0.8803086620290788,-0.015838732901397,-0.0386369090472415,-0.0184785217182627,-0.0052795776337812,0.0021598272138317,-0.0023998080153586,-0.1465290000000001,-0.0673019999999999,-0.923371,0.029714,0.0882419999999999,-0.919747
4,0.016667,stand,1.237653,-1.085863,0.933665,-0.016103,-0.023858,0.882598,-0.1226301895848692,0.0825533957283177,-0.0112790976721908,-0.0492437432665687,0.0234029687887282,-0.8824301695997154,-0.0184785217182343,-0.0362371010319203,-0.0151187904967599,-0.0067194624430379,0.0016798656107461,-0.0033597312215023,-0.1460949999999998,-0.0677969999999998,-0.923387,0.030197,0.087905,-0.919714
5,0.020833,stand,1.237115,-1.085597,0.933537,-0.016201,-0.023815,0.881685,-0.1291406625059835,0.0638502160345894,-0.0307249159865619,-0.0166044983928003,-0.0192867082645799,-0.932530979202511,-0.0177628420547598,-0.0345655304849121,-0.0170427268362937,-0.0038406144983235,0.0004800768123037,0.0,-0.145631,-0.0682070000000001,-0.92333,0.0307189999999999,0.0876409999999999,-0.919586
6,0.025,stand,1.23655,-1.085254,0.933375,-0.016757,-0.023473,0.880836,-0.1355891528677529,0.0823134149268015,-0.038876889848811,-0.2483761241012104,-0.1464637625594193,-0.8716567551689782,-0.0155987520998276,-0.0302375809934841,-0.0167986561075115,-0.0033597312214923,0.0002399808015161,-0.0016798656107511,-0.1451310000000001,-0.0686759999999999,-0.923238,0.0312699999999999,0.0872989999999999,-0.919431
7,0.029167,stand,1.236012,-1.084897,0.933313,-0.017087,-0.023119,0.880163,-0.1291096712262845,0.0856731461482939,-0.0148788096952259,-0.2068127217416883,-0.0504763955565616,-0.6906218023177418,-0.0139188864890548,-0.0321574274058263,-0.0191984641228702,-0.004079673626094,0.0023998080153744,-0.0045596352291816,-0.144651,-0.0691669999999999,-0.923256,0.0317909999999999,0.086952,-0.919388
8,0.033333,stand,1.235468,-1.084624,0.933253,-0.016999,-0.022932,0.879396,-0.1305808929428947,0.0655304848775726,-0.0144023043686867,-0.0387153087623384,0.0893543149545387,-0.7813729282910075,-0.0124819971195249,-0.0352856457033411,-0.0177628420547286,-0.0060009601536105,0.0019203072491617,-0.00048007681229,-0.1441589999999999,-0.069587,-0.92327,0.03231,0.086687,-0.91933
9,0.0375,stand,1.234934,-1.084306,0.933174,-0.017142,-0.022713,0.87869,-0.1281497480201667,0.0763138948884186,-0.0189584833213466,-0.1066017157420544,-0.0017568847966409,-0.7168934602031791,-0.0100791936645302,-0.0316774658026875,-0.0146388288936885,-0.0035997120230617,0.0009599232061444,-0.0009599232061432,-0.143667,-0.0700369999999999,-0.923252,0.032829,0.086373,-0.919255
10,0.041667,stand,1.234414,-1.084114,0.933098,-0.01745,-0.022077,0.87786,-0.1247900167986742,0.0460763138948811,-0.0182385409167182,-0.3169039661008775,0.025597278490576,-0.8504368118375761,-0.0055195584352973,-0.0283177345812484,-0.017518598512119,-0.0026397888168906,0.0011999040076606,0.0,-0.1431699999999998,-0.0703469999999999,-0.923249,0.033338,0.0861859999999999,-0.919179
