Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
24,0.200000,0.031413,0.000325,-0.298100,0.954018,0.095250,0.607383,0.045086,-0.054711,0.057754,-0.626323,0.775494,-0.133236,0.390090,0.039289,-0.029143,-0.004832,0.306692,-0.951350,0.009528,0.457193,0.947217
25,0.208333,0.031332,0.000308,-0.298080,0.954026,0.095251,0.607390,0.045095,-0.054666,0.057760,-0.626306,0.775510,-0.133243,0.390087,0.039292,-0.029287,-0.004162,0.306428,-0.951434,0.009540,0.457147,0.947093
26,0.216667,0.031372,0.000329,-0.298086,0.954023,0.095252,0.607390,0.045093,-0.054721,0.057756,-0.626290,0.775519,-0.133240,0.390091,0.039289,-0.029270,-0.004234,0.306280,-0.951482,0.009530,0.457131,0.947108
27,0.225000,0.031346,0.000302,-0.298071,0.954029,0.095251,0.607383,0.045095,-0.054700,0.057735,-0.626267,0.775541,-0.133240,0.390091,0.039292,-0.029276,-0.004299,0.306072,-0.951549,0.009535,0.457111,0.947117
28,0.233333,0.031435,0.000282,-0.298081,0.954023,0.095252,0.607388,0.045088,-0.054768,0.057803,-0.626262,0.775535,-0.133245,0.390096,0.039284,-0.029370,-0.004252,0.305931,-0.951591,0.009508,0.457075,0.947080
29,0.241667,0.031331,0.000313,-0.298076,0.954028,0.095250,0.607387,0.045094,-0.054751,0.057782,-0.626244,0.775552,-0.133250,0.390092,0.039284,-0.029417,-0.004456,0.305722,-0.951656,0.009469,0.457084,0.947091
30,0.250000,0.031333,0.000353,-0.298062,0.954032,0.095250,0.607390,0.045095,-0.054728,0.057755,-0.626231,0.775567,-0.133247,0.390090,0.039289,-0.029515,-0.004440,0.305604,-0.951691,0.009453,0.457068,0.947076
31,0.258333,0.031374,0.000313,-0.298061,0.954031,0.095256,0.607395,0.045099,-0.054693,0.057731,-0.626240,0.775564,-0.133253,0.390090,0.039287,-0.029589,-0.004512,0.305555,-0.951704,0.009434,0.457084,0.947070
32,0.266667,0.031297,0.000334,-0.298071,0.954030,0.095255,0.607392,0.045095,-0.054691,0.057732,-0.626239,0.775565,-0.133246,0.390093,0.039282,-0.029565,-0.004548,0.305440,-0.951742,0.009426,0.457070,0.947073
33,0.275000,0.031287,0.000277,-0.298089,0.954025,0.095249,0.607395,0.045096,-0.054708,0.057754,-0.626222,0.775576,-0.133252,0.390094,0.039282,-0.029678,-0.004724,0.305340,-0.951769,0.009406,0.457067,0.947081
34,0.283333,0.031324,0.000266,-0.298089,0.954024,0.095256,0.607396,0.045091,-0.054734,0.057739,-0.626227,0.775571,-0.133242,0.390093,0.039275,-0.029517,-0.004820,0.305238,-0.951806,0.009357,0.457045,0.947116
35,0.291667,0.031296,0.000342,-0.298070,0.954031,0.095252,0.607399,0.045094,-0.054667,0.057730,-0.626220,0.775582,-0.133244,0.390096,0.039275,-0.029588,-0.004657,0.305062,-0.951862,0.009343,0.457014,0.947087
36,0.300000,0.031276,0.000347,-0.298098,0.954023,0.095256,0.607400,0.045085,-0.054684,0.057725,-0.626222,0.775579,-0.133240,0.390093,0.039270,-0.029578,-0.004387,0.304982,-0.951889,0.009344,0.457022,0.947059
37,0.308333,0.031302,0.000334,-0.298117,0.954016,0.095257,0.607404,0.045090,-0.054590,0.057673,-0.626214,0.775597,-0.133240,0.390082,0.039271,-0.029674,-0.004094,0.304859,-0.951926,0.009313,0.457009,0.946999
38,0.316667,0.031282,0.000275,-0.298127,0.954014,0.095260,0.607399,0.045080,-0.054653,0.057684,-0.626228,0.775580,-0.133233,0.390088,0.039260,-0.029748,-0.003913,0.304747,-0.951961,0.009283,0.457019,0.946965
39,0.325000,0.031399,0.000331,-0.298109,0.954015,0.095252,0.607399,0.045080,-0.054556,0.057653,-0.626209,0.775604,-0.133241,0.390083,0.039266,-0.029826,-0.003707,0.304577,-0.952013,0.009258,0.457033,0.946942
40,0.333333,0.031415,0.000314,-0.298135,0.954007,0.095254,0.607397,0.045071,-0.054559,0.057666,-0.626191,0.775617,-0.133240,0.390083,0.039265,-0.029861,-0.003371,0.304461,-0.952051,0.009225,0.457035,0.946882
41,0.341667,0.031463,0.000295,-0.298123,0.954009,0.095250,0.607398,0.045069,-0.054603,0.057649,-0.626186,0.775620,-0.133245,0.390083,0.039265,-0.029983,-0.003395,0.304349,-0.952083,0.009187,0.457047,0.946878
42,0.350000,0.031488,0.000320,-0.298145,0.954001,0.095250,0.607393,0.045074,-0.054548,0.057617,-0.626213,0.775605,-0.133245,0.390076,0.039260,-0.030033,-0.003144,0.304222,-0.952122,0.009154,0.457058,0.946846
43,0.358333,0.031484,0.000256,-0.298178,0.953991,0.095247,0.607385,0.045066,-0.054596,0.057650,-0.626191,0.775616,-0.133242,0.390080,0.039262,-0.030075,-0.003131,0.304118,-0.952155,0.009109,0.457066,0.946848
44,0.366667,0.031485,0.000291,-0.298170,0.953993,0.095246,0.607384,0.045059,-0.054596,0.057622,-0.626188,0.775621,-0.133248,0.390078,0.039265,-0.030089,-0.003084,0.303970,-0.952201,0.009059,0.457074,0.946846
45,0.375000,0.031488,0.000284,-0.298186,0.953988,0.095246,0.607384,0.045061,-0.054609,0.057634,-0.626172,0.775632,-0.133252,0.390084,0.039268,-0.030040,-0.003023,0.303865,-0.952237,0.009014,0.457079,0.946867
46,0.383333,0.031457,0.000311,-0.298185,0.953990,0.095244,0.607388,0.045075,-0.054609,0.057662,-0.626187,0.775618,-0.133257,0.390085,0.039274,-0.030081,-0.002751,0.303640,-0.952308,0.008966,0.457060,0.946830
47,0.391667,0.031402,0.000271,-0.298204,0.953985,0.095242,0.607385,0.045070,-0.054611,0.057664,-0.626176,0.775626,-0.133254,0.390086,0.039271,-0.030013,-0.002828,0.303459,-0.952367,0.008872,0.457040,0.946834
48,0.400000,0.031494,0.000275,-0.298191,0.953987,0.095247,0.607388,0.045070,-0.054596,0.057634,-0.626181,0.775626,-0.133255,0.390089,0.039277,-0.029991,-0.002790,0.303277,-0.952426,0.008801,0.457022,0.946847
49,0.408333,0.031431,0.000246,-0.298225,0.953978,0.095242,0.607387,0.045078,-0.054530,0.057614,-0.626165,0.775644,-0.133251,0.390087,0.039278,-0.030003,-0.002756,0.303153,-0.952465,0.008748,0.457017,0.946841
50,0.416667,0.031366,0.000203,-0.298241,0.953975,0.095243,0.607389,0.045078,-0.054618,0.057636,-0.626167,0.775635,-0.133258,0.390088,0.039276,-0.030002,-0.002871,0.302976,-0.952522,0.008689,0.457024,0.946864
51,0.425000,0.031395,0.000139,-0.298247,0.953972,0.095248,0.607387,0.045085,-0.054644,0.057645,-0.626153,0.775644,-0.133261,0.390085,0.039273,-0.029965,-0.002871,0.302808,-0.952576,0.008649,0.457030,0.946878
