Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
24,0.200000,0.015801,0.023619,0.799632,0.599818,1.046712,-0.933449,0.022787,-0.009794,0.006618,-0.459981,-0.887850,1.324038,-0.841848,0.019863,-0.019675,0.002815,0.669947,0.742143,1.237625,-0.912170,0.929513
25,0.208333,0.014411,0.025161,0.799805,0.599559,1.046755,-0.933210,0.023154,-0.009929,0.006794,-0.460223,-0.887722,1.324056,-0.841852,0.019890,-0.019041,0.003917,0.670079,0.742035,1.238684,-0.912152,0.929626
26,0.216667,0.013091,0.026827,0.800038,0.599206,1.046868,-0.932985,0.023516,-0.009717,0.006689,-0.460401,-0.887633,1.324075,-0.841863,0.019928,-0.017826,0.003186,0.670120,0.742031,1.239881,-0.912160,0.929577
27,0.225000,0.010939,0.029199,0.800288,0.598805,1.046991,-0.932714,0.024069,-0.010410,0.006612,-0.460460,-0.887595,1.324057,-0.841860,0.019894,-0.017229,0.003843,0.669723,0.742401,1.240848,-0.912138,0.929628
28,0.233333,0.007868,0.030651,0.800885,0.597982,1.047311,-0.932356,0.024675,-0.010976,0.006545,-0.460662,-0.887483,1.324068,-0.841872,0.019885,-0.016805,0.003502,0.669709,0.742425,1.242016,-0.912045,0.929645
29,0.241667,0.004359,0.033527,0.801330,0.597267,1.047575,-0.931913,0.025515,-0.010661,0.006618,-0.460950,-0.887338,1.324099,-0.841891,0.019946,-0.014880,0.002641,0.669670,0.742505,1.243096,-0.912142,0.929523
30,0.250000,0.000214,0.037270,0.801906,0.596287,1.047843,-0.931438,0.026563,-0.011147,0.006263,-0.461095,-0.887258,1.324099,-0.841914,0.019922,-0.013936,0.004026,0.669598,0.742582,1.244087,-0.912103,0.929689
31,0.258333,-0.004831,0.040717,0.802442,0.595320,1.048085,-0.930936,0.027727,-0.012370,0.005780,-0.460567,-0.887520,1.323626,-0.841965,0.019399,-0.012613,0.003781,0.669446,0.742745,1.245289,-0.912098,0.929654
32,0.266667,-0.009354,0.045138,0.802884,0.594351,1.048385,-0.930507,0.029069,-0.012590,0.005891,-0.460702,-0.887446,1.323641,-0.841986,0.019439,-0.010866,0.004741,0.669210,0.742979,1.246266,-0.912230,0.929784
33,0.275000,-0.015966,0.049209,0.803607,0.592908,1.048698,-0.929773,0.030700,-0.012935,0.004818,-0.460691,-0.887453,1.323723,-0.842079,0.019347,-0.008584,0.006741,0.669250,0.742957,1.247309,-0.912445,0.929976
