Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
24,0.200000,-0.043031,-0.000826,0.162291,-0.985804,-0.904919,1.594106,0.053152,-0.076780,0.036557,-0.447264,0.890350,-1.050695,1.351397,0.047582,0.018079,0.024231,-0.223803,0.974165,-0.954178,1.404454,0.956426
25,0.208333,-0.043140,-0.000912,0.162483,-0.985767,-0.904861,1.594106,0.053212,-0.076945,0.036399,-0.447015,0.890467,-1.050764,1.351377,0.047597,0.017976,0.024640,-0.224353,0.974031,-0.954656,1.403938,0.956369
26,0.216667,-0.043152,-0.000953,0.162586,-0.985750,-0.904812,1.594103,0.053260,-0.076887,0.036109,-0.446711,0.890637,-1.050848,1.351348,0.047630,0.018237,0.024642,-0.224878,0.973905,-0.955121,1.403343,0.956313
27,0.225000,-0.043256,-0.001053,0.162749,-0.985718,-0.904772,1.594091,0.053282,-0.077078,0.035890,-0.446408,0.890781,-1.050903,1.351333,0.047689,0.018221,0.025090,-0.225245,0.973809,-0.955592,1.402785,0.956338
28,0.233333,-0.043469,-0.001003,0.163047,-0.985660,-0.904761,1.594083,0.053269,-0.077357,0.035553,-0.446177,0.890886,-1.050964,1.351350,0.047772,0.018516,0.025359,-0.225677,0.973696,-0.956032,1.402170,0.956321
29,0.241667,-0.043715,-0.000700,0.163063,-0.985646,-0.904769,1.594099,0.053243,-0.077539,0.035080,-0.445972,0.890992,-1.051021,1.351375,0.047861,0.018397,0.025565,-0.225873,0.973648,-0.956526,1.401546,0.956356
30,0.250000,-0.043890,-0.000320,0.163268,-0.985605,-0.904817,1.594123,0.053207,-0.077756,0.034692,-0.445987,0.890980,-1.051050,1.351403,0.047976,0.018219,0.025404,-0.226330,0.973549,-0.956999,1.400977,0.956400
31,0.258333,-0.044132,0.000094,0.163463,-0.985562,-0.904878,1.594148,0.053144,-0.078865,0.034419,-0.446141,0.890816,-1.051127,1.351417,0.048098,0.018305,0.026174,-0.226798,0.973418,-0.957435,1.400249,0.956382
32,0.266667,-0.044187,0.000436,0.163700,-0.985520,-0.904931,1.594209,0.053074,-0.079338,0.034137,-0.446328,0.890692,-1.051127,1.351423,0.048185,0.018664,0.026847,-0.227068,0.973330,-0.957920,1.399367,0.956309
33,0.275000,-0.044068,0.000686,0.163951,-0.985484,-0.904993,1.594270,0.053003,-0.079750,0.033527,-0.446382,0.890651,-1.051114,1.351455,0.048316,0.018656,0.027898,-0.227463,0.973208,-0.958430,1.398483,0.956245
34,0.283333,-0.043669,0.000839,0.164177,-0.985463,-0.905055,1.594355,0.052922,-0.080469,0.032827,-0.446283,0.890662,-1.051111,1.351512,0.048440,0.018664,0.028391,-0.227874,0.973098,-0.958907,1.397592,0.956116
35,0.291667,-0.043107,0.000955,0.164444,-0.985444,-0.905087,1.594432,0.052836,-0.080906,0.031897,-0.446192,0.890702,-1.051090,1.351568,0.048583,0.018479,0.030485,-0.228426,0.972908,-0.959458,1.396395,0.956118
36,0.300000,-0.042620,0.001035,0.164761,-0.985412,-0.905111,1.594526,0.052820,-0.081250,0.030856,-0.446105,0.890751,-1.051075,1.351617,0.048743,0.018411,0.030634,-0.228803,0.972817,-0.959968,1.395404,0.955922
37,0.308333,-0.042004,0.001357,0.164937,-0.985408,-0.905164,1.594619,0.052827,-0.081365,0.029749,-0.446139,0.890761,-1.051069,1.351645,0.048913,0.018779,0.031543,-0.228936,0.972749,-0.960476,1.394316,0.955736
38,0.316667,-0.041801,0.001546,0.165192,-0.985374,-0.905219,1.594730,0.052873,-0.081863,0.028611,-0.446314,0.890665,-1.051185,1.351634,0.049052,0.019067,0.032119,-0.229291,0.972641,-0.960976,1.393088,0.955482
39,0.325000,-0.041247,0.001848,0.165403,-0.985362,-0.905284,1.594799,0.052900,-0.082125,0.027768,-0.446920,0.890363,-1.051195,1.351544,0.049192,0.021157,0.033322,-0.231465,0.972042,-0.962174,1.391846,0.954939
40,0.333333,-0.040770,0.002069,0.165663,-0.985337,-0.905353,1.594851,0.052932,-0.082025,0.026532,-0.447484,0.890127,-1.051303,1.351442,0.049380,0.021181,0.034364,-0.231436,0.972012,-0.962555,1.390657,0.954891
41,0.341667,-0.040677,0.002328,0.165870,-0.985306,-0.905439,1.594882,0.052949,-0.082629,0.025358,-0.447875,0.889909,-1.051601,1.351349,0.049603,0.022469,0.034949,-0.231505,0.971946,-0.963103,1.389291,0.954459
42,0.350000,-0.040908,0.002475,0.166108,-0.985256,-0.905542,1.594910,0.053013,-0.083115,0.023662,-0.449051,0.889317,-1.051865,1.351250,0.049824,0.023061,0.035905,-0.231543,0.971888,-0.963533,1.387834,0.954168
43,0.358333,-0.039468,0.001593,0.165963,-0.985341,-0.905504,1.594699,0.053249,-0.083602,0.021977,-0.450156,0.888756,-1.052192,1.351085,0.050003,0.024136,0.036897,-0.231242,0.971897,-0.963908,1.386322,0.953858
44,0.366667,-0.036997,0.001295,0.166809,-0.985294,-0.905594,1.594316,0.053127,-0.083729,0.020221,-0.451306,0.888202,-1.052448,1.350929,0.050247,0.024674,0.037729,-0.230546,0.972017,-0.964108,1.384628,0.953574
45,0.375000,-0.037601,0.001392,0.166681,-0.985293,-0.905754,1.594235,0.053219,-0.082801,0.018011,-0.452289,0.887837,-1.052568,1.350856,0.050526,0.025290,0.037757,-0.229647,0.972213,-0.964320,1.382951,0.953286
46,0.383333,-0.036970,0.001862,0.166558,-0.985337,-0.905994,1.594163,0.053113,-0.082501,0.016160,-0.452628,0.887728,-1.052734,1.350963,0.050673,0.025844,0.038248,-0.228477,0.972454,-0.964300,1.381153,0.953081
47,0.391667,-0.037187,0.002346,0.167004,-0.985252,-0.906236,1.594057,0.053050,-0.082160,0.014018,-0.453037,0.887587,-1.052913,1.351083,0.050887,0.026624,0.038394,-0.227488,0.972660,-0.964480,1.379221,0.952736
48,0.400000,-0.037273,0.002853,0.167091,-0.985233,-0.906468,1.594085,0.052953,-0.082220,0.012045,-0.453168,0.887543,-1.053053,1.351254,0.051066,0.026995,0.038794,-0.226353,0.972898,-0.964437,1.377338,0.952584
49,0.408333,-0.035482,0.003106,0.169425,-0.984899,-0.906441,1.594604,0.052819,-0.082953,0.010617,-0.452832,0.887665,-1.053225,1.351440,0.051217,0.027822,0.038752,-0.224625,0.973277,-0.964487,1.375219,0.952333
50,0.416667,-0.037086,0.003532,0.169606,-0.984808,-0.906636,1.594674,0.052781,-0.083833,0.009257,-0.452375,0.887831,-1.053492,1.351687,0.051236,0.027744,0.038626,-0.222573,0.973755,-0.964128,1.373156,0.952158
51,0.425000,-0.038877,0.003691,0.169304,-0.984790,-0.906797,1.594676,0.052804,-0.083345,0.007812,-0.451483,0.888344,-1.053717,1.351917,0.051255,0.027463,0.038874,-0.220274,0.974276,-0.963825,1.370908,0.952067
52,0.433333,-0.040236,0.003736,0.169218,-0.984750,-0.906927,1.594520,0.052726,-0.081676,0.006480,-0.451051,0.888730,-1.053746,1.352050,0.051349,0.027119,0.038671,-0.217841,0.974841,-0.963562,1.368748,0.951841
53,0.441667,-0.043630,0.004019,0.167685,-0.984866,-0.907112,1.594275,0.052755,-0.080758,0.006045,-0.451285,0.888697,-1.053598,1.352057,0.051378,0.027373,0.039512,-0.217821,0.974804,-0.963950,1.366479,0.951335
54,0.450000,-0.045677,0.003315,0.166906,-0.984909,-0.907089,1.594030,0.052823,-0.081969,0.006071,-0.451336,0.888561,-1.053658,1.352236,0.051111,0.026153,0.039314,-0.215759,0.975304,-0.963827,1.364389,0.950846
55,0.458333,-0.047714,0.001653,0.165590,-0.985038,-0.906928,1.593635,0.053018,-0.080958,0.005852,-0.450903,0.888875,-1.053604,1.352296,0.051003,0.025477,0.039315,-0.213541,0.975810,-0.963748,1.362266,0.950369
56,0.466667,-0.049839,-0.001558,0.164729,-0.985078,-0.906169,1.592867,0.053603,-0.081471,0.006633,-0.450226,0.889166,-1.053623,1.352402,0.050640,0.023835,0.040160,-0.211095,0.976349,-0.963450,1.360020,0.949663
57,0.475000,-0.052711,-0.005497,0.163013,-0.985200,-0.905428,1.592263,0.054387,-0.081287,0.007639,-0.449513,0.889535,-1.053659,1.352464,0.050267,0.022362,0.040597,-0.208445,0.976935,-0.963167,1.357911,0.948932
58,0.483333,-0.050283,-0.011620,0.161611,-0.985504,-0.904958,1.590598,0.055228,-0.080582,0.008376,-0.449022,0.889840,-1.053727,1.352469,0.049977,0.019740,0.041413,-0.206611,0.977347,-0.962728,1.355876,0.947959
59,0.491667,-0.048877,-0.017916,0.156445,-0.986314,-0.904408,1.589326,0.056273,-0.080167,0.009148,-0.448702,0.890032,-1.053833,1.352439,0.049714,0.018000,0.041812,-0.204275,0.977854,-0.962220,1.353813,0.946861
60,0.500000,-0.043482,-0.027301,0.144230,-0.988211,-0.903663,1.586503,0.057845,-0.082882,0.009930,-0.447589,0.890335,-1.054095,1.352665,0.049283,0.016035,0.042461,-0.201859,0.978363,-0.961646,1.351790,0.945944
61,0.508333,-0.044646,-0.036707,0.139116,-0.988588,-0.903499,1.583816,0.059585,-0.082723,0.011102,-0.447878,0.890190,-1.054124,1.352549,0.049068,0.014399,0.041511,-0.199879,0.978835,-0.960985,1.350044,0.945223
62,0.516667,-0.046803,-0.044278,0.133354,-0.988972,-0.903543,1.581277,0.061215,-0.082561,0.012292,-0.448236,0.890010,-1.054145,1.352427,0.048878,0.014450,0.041398,-0.198583,0.979103,-0.960290,1.347932,0.944113
63,0.525000,-0.050508,-0.053900,0.125755,-0.989308,-0.903609,1.578750,0.063244,-0.082395,0.013302,-0.448606,0.889824,-1.054149,1.352302,0.048715,0.012854,0.043073,-0.197162,0.979340,-0.959285,1.345871,0.943341
64,0.533333,-0.055213,-0.062621,0.116419,-0.989685,-0.903822,1.575673,0.065327,-0.082429,0.014301,-0.448817,0.889699,-1.054158,1.352219,0.048577,0.010834,0.043809,-0.198888,0.978983,-0.957048,1.342445,0.941767
65,0.541667,-0.061336,-0.073150,0.104841,-0.989897,-0.904186,1.572404,0.067641,-0.082241,0.015162,-0.448903,0.889659,-1.054175,1.352162,0.048456,0.009529,0.043497,-0.198825,0.979023,-0.955625,1.340085,0.941007
66,0.550000,-0.080894,-0.088462,0.091343,-0.988578,-0.903874,1.567513,0.071133,-0.081723,0.015903,-0.448978,0.889656,-1.054203,1.352101,0.048343,0.008284,0.043110,-0.198854,0.979046,-0.954158,1.337769,0.940276
67,0.558333,-0.086951,-0.097701,0.079431,-0.988223,-0.903762,1.563602,0.073552,-0.081017,0.016686,-0.448983,0.889703,-1.054251,1.352014,0.048253,0.007668,0.042485,-0.198745,0.979100,-0.952463,1.335232,0.939738
68,0.566667,-0.089036,-0.104966,0.066756,-0.988230,-0.903260,1.559001,0.075912,-0.080137,0.017475,-0.448962,0.889779,-1.054310,1.351873,0.048181,0.008519,0.043887,-0.200219,0.978731,-0.951140,1.332697,0.938661
69,0.575000,-0.093507,-0.113112,0.054667,-0.987661,-0.902235,1.553278,0.078573,-0.078660,0.018194,-0.449187,0.889782,-1.054343,1.351680,0.048200,0.009189,0.043495,-0.200392,0.978707,-0.949246,1.329980,0.937976
70,0.583333,-0.094771,-0.120881,0.042376,-0.987224,-0.900794,1.546930,0.081163,-0.077772,0.019002,-0.449230,0.889822,-1.054446,1.351489,0.048163,0.009221,0.043482,-0.200848,0.978614,-0.947196,1.327512,0.937890
71,0.591667,-0.095269,-0.125786,0.033232,-0.986913,-0.898650,1.539688,0.083749,-0.076844,0.019689,-0.449339,0.889833,-1.054583,1.351305,0.048151,0.010771,0.043871,-0.200773,0.978596,-0.944963,1.324720,0.937666
72,0.600000,-0.085032,-0.122315,0.032142,-0.988320,-0.895674,1.531501,0.085093,-0.075856,0.020509,-0.449726,0.889703,-1.054704,1.351109,0.048133,0.011580,0.042993,-0.200795,0.978621,-0.942727,1.321886,0.937565
73,0.608333,-0.081498,-0.122925,0.029459,-0.988625,-0.892157,1.522544,0.087107,-0.075360,0.021131,-0.450267,0.889457,-1.054822,1.350908,0.048107,0.017562,0.042259,-0.202626,0.978186,-0.940333,1.319522,0.937056
74,0.616667,-0.075890,-0.125510,0.028905,-0.988763,-0.887943,1.513398,0.088756,-0.074245,0.021115,-0.450620,0.889373,-1.054901,1.350762,0.048030,0.018778,0.042725,-0.203254,0.978013,-0.937810,1.316706,0.936907
75,0.625000,-0.065843,-0.123779,0.027486,-0.989741,-0.883200,1.503148,0.089278,-0.073146,0.021901,-0.449965,0.889776,-1.055024,1.350713,0.047975,0.021190,0.042765,-0.203972,0.977813,-0.935274,1.313983,0.936526
76,0.633333,-0.050749,-0.124534,0.028675,-0.990502,-0.877402,1.493263,0.089639,-0.073320,0.021545,-0.451923,0.888778,-1.055040,1.350859,0.047790,0.021543,0.044041,-0.205159,0.977500,-0.932062,1.311004,0.936221
77,0.641667,-0.044282,-0.125187,0.029201,-0.990714,-0.871113,1.482399,0.089944,-0.072293,0.021534,-0.452867,0.888381,-1.055111,1.350828,0.047684,0.023245,0.045281,-0.206877,0.977042,-0.928741,1.308088,0.935833
78,0.650000,-0.030702,-0.122953,0.029630,-0.991495,-0.864405,1.471456,0.089557,-0.070726,0.021219,-0.453926,0.887974,-1.055127,1.350788,0.047585,0.027639,0.047276,-0.209236,0.976331,-0.925823,1.305362,0.935520
79,0.658333,-0.042047,-0.123628,0.035266,-0.990810,-0.855402,1.458833,0.090517,-0.069261,0.020839,-0.454847,0.887628,-1.055153,1.350762,0.047480,0.028831,0.051000,-0.211591,0.975601,-0.923179,1.302849,0.934366
80,0.666667,-0.052974,-0.123000,0.043803,-0.990023,-0.845832,1.446361,0.091808,-0.067972,0.020331,-0.455576,0.887366,-1.055207,1.350732,0.047342,0.028707,0.055012,-0.212934,0.975094,-0.920197,1.300224,0.933769
81,0.675000,-0.042611,-0.120712,0.043958,-0.990798,-0.837191,1.434833,0.091355,-0.066379,0.020254,-0.456684,0.886918,-1.055176,1.350688,0.047262,0.029787,0.058788,-0.214475,0.974504,-0.917310,1.297589,0.933088
82,0.683333,-0.035459,-0.116185,0.046848,-0.991488,-0.827366,1.422726,0.090636,-0.065028,0.020320,-0.457735,0.886474,-1.055157,1.350600,0.047194,0.032100,0.063190,-0.216310,0.973749,-0.914264,1.294871,0.932442
83,0.691667,-0.028627,-0.111987,0.050612,-0.992007,-0.816945,1.410535,0.089784,-0.063322,0.020398,-0.458551,0.886174,-1.055139,1.350543,0.047126,0.034535,0.065285,-0.217279,0.973311,-0.911443,1.292409,0.931973
84,0.700000,-0.025732,-0.107180,0.054193,-0.992428,-0.806264,1.398392,0.088892,-0.061569,0.020618,-0.459058,0.886031,-1.055164,1.350486,0.047038,0.036858,0.070285,-0.217440,0.972842,-0.908341,1.290392,0.931245
85,0.708333,-0.015060,-0.102404,0.057260,-0.992979,-0.794830,1.386430,0.087722,-0.056764,0.020477,-0.460313,0.885704,-1.055226,1.350246,0.047171,0.041216,0.073303,-0.217202,0.972497,-0.905528,1.287981,0.931172
86,0.716667,-0.002937,-0.097641,0.061037,-0.993344,-0.782548,1.374593,0.086432,-0.056504,0.021327,-0.459481,0.886132,-1.055342,1.350209,0.047034,0.044692,0.077851,-0.216756,0.972090,-0.902551,1.285496,0.931088
87,0.725000,0.000397,-0.089989,0.062966,-0.993950,-0.770224,1.362948,0.085790,-0.056178,0.022459,-0.459093,0.886325,-1.055473,1.350113,0.046917,0.046988,0.073300,-0.216839,0.972317,-0.898999,1.282552,0.930549
88,0.733333,0.006083,-0.083988,0.065550,-0.994290,-0.757435,1.351517,0.084863,-0.054266,0.023435,-0.459774,0.886066,-1.055448,1.349873,0.046938,0.044997,0.083630,-0.216388,0.971678,-0.894692,1.279900,0.929884
89,0.741667,0.004889,-0.075561,0.072084,-0.994520,-0.743636,1.339575,0.084653,-0.051301,0.024481,-0.460209,0.885989,-1.055264,1.349532,0.047049,0.045962,0.087345,-0.217086,0.971150,-0.890868,1.276942,0.929425
90,0.750000,0.002737,-0.067112,0.072682,-0.995091,-0.730232,1.328202,0.084208,-0.049087,0.025904,-0.460158,0.886100,-1.055251,1.349266,0.047112,0.046919,0.090085,-0.218853,0.970457,-0.886856,1.273750,0.928567
91,0.758333,0.015103,-0.060011,0.076742,-0.995129,-0.716221,1.316547,0.083133,-0.048469,0.027573,-0.459524,0.886413,-1.055291,1.349091,0.047123,0.048025,0.090732,-0.220531,0.969963,-0.882909,1.270512,0.927451
92,0.766667,0.020379,-0.052374,0.078331,-0.995342,-0.701946,1.305319,0.083002,-0.044946,0.028000,-0.460659,0.885996,-1.055320,1.349273,0.047219,0.049129,0.099470,-0.228935,0.967099,-0.875875,1.265090,0.925506
93,0.775000,0.025338,-0.044156,0.077411,-0.995699,-0.687933,1.295080,0.082716,-0.043379,0.029271,-0.461540,0.885575,-1.055315,1.348875,0.047392,0.050691,0.094322,-0.233447,0.966455,-0.870787,1.260760,0.924562
94,0.783333,0.029019,-0.036388,0.078755,-0.995807,-0.673950,1.284537,0.082308,-0.043619,0.031691,-0.461210,0.885652,-1.055520,1.348929,0.047456,0.049823,0.091713,-0.237653,0.965726,-0.865178,1.255918,0.922738
95,0.791667,0.028879,-0.027976,0.081273,-0.995881,-0.660170,1.273690,0.082035,-0.042264,0.033359,-0.460769,0.885886,-1.055754,1.349047,0.047595,0.049535,0.092096,-0.242737,0.964439,-0.860209,1.252408,0.922028
