Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.046575,0.008931,0.264227,-0.963294,-1.060246,1.624387,0.052984,0.058719,-0.048134,0.585585,-0.807047,-1.217737,1.433746,0.049749,-0.027113,-0.040247,0.313954,-0.948197,-1.147405,1.467244,0.959634
1,0.008333,-0.046009,0.009038,0.264121,-0.963349,-1.060270,1.624419,0.052973,0.059087,-0.046954,0.585392,-0.807230,-1.217797,1.433921,0.049715,-0.026769,-0.040857,0.313611,-0.948294,-1.148080,1.466643,0.959649
2,0.016667,-0.044979,0.008933,0.263933,-0.963450,-1.060285,1.624421,0.052996,0.059295,-0.047008,0.585813,-0.806906,-1.217588,1.433808,0.049908,-0.027467,-0.041483,0.314166,-0.948063,-1.148794,1.465940,0.959402
3,0.025000,-0.043798,0.008692,0.263509,-0.963623,-1.060308,1.624358,0.053072,0.059701,-0.046788,0.586036,-0.806727,-1.217538,1.433909,0.050006,-0.028063,-0.042187,0.314486,-0.947909,-1.149418,1.465104,0.959243
4,0.033333,-0.041468,0.007839,0.262386,-0.964040,-1.060336,1.624179,0.053171,0.060112,-0.046667,0.586091,-0.806664,-1.217496,1.434007,0.050086,-0.028399,-0.042665,0.314493,-0.947875,-1.149997,1.464213,0.959097
5,0.041667,-0.039494,0.006958,0.261663,-0.964326,-1.060418,1.624031,0.053268,0.060486,-0.046003,0.585786,-0.806895,-1.217348,1.434064,0.050217,-0.028693,-0.043012,0.314277,-0.947922,-1.150521,1.463325,0.958910
6,0.050000,-0.038626,0.006403,0.261346,-0.964451,-1.060497,1.623933,0.053349,0.061341,-0.045655,0.586241,-0.806520,-1.217307,1.434233,0.050325,-0.029436,-0.043229,0.314422,-0.947842,-1.150921,1.462179,0.958690
7,0.058333,-0.038498,0.006299,0.261367,-0.964451,-1.060555,1.623878,0.053378,0.061682,-0.044573,0.586674,-0.806240,-1.217311,1.434385,0.050295,-0.029625,-0.043181,0.314237,-0.947899,-1.151310,1.460994,0.958482
8,0.066667,-0.039025,0.006262,0.261270,-0.964456,-1.060591,1.623856,0.053400,0.062598,-0.045344,0.585745,-0.806802,-1.217344,1.434284,0.050610,-0.030101,-0.043198,0.314143,-0.947915,-1.151569,1.459777,0.958255
9,0.075000,-0.039691,0.006386,0.261322,-0.964414,-1.060613,1.623849,0.053398,0.063136,-0.044396,0.585225,-0.807189,-1.217394,1.434369,0.050657,-0.030537,-0.042711,0.314121,-0.947930,-1.151805,1.458538,0.958066
10,0.083333,-0.041008,0.006790,0.261534,-0.964299,-1.060638,1.623864,0.053387,0.063564,-0.043732,0.585075,-0.807301,-1.217468,1.434453,0.050737,-0.030965,-0.042544,0.313885,-0.948002,-1.152010,1.457072,0.957865
11,0.091667,-0.047907,0.009240,0.264107,-0.963259,-1.060595,1.624410,0.053128,0.064019,-0.042812,0.584530,-0.807709,-1.217493,1.434526,0.050800,-0.031533,-0.042156,0.313859,-0.948009,-1.152102,1.455667,0.957635
12,0.100000,-0.048718,0.009399,0.264233,-0.963182,-1.060679,1.624361,0.053139,0.064485,-0.043059,0.584092,-0.807975,-1.217539,1.434675,0.050931,-0.032056,-0.041727,0.313731,-0.948053,-1.152222,1.454147,0.957467
13,0.108333,-0.049694,0.009451,0.264270,-0.963121,-1.060757,1.624336,0.053164,0.064046,-0.041813,0.583665,-0.808384,-1.217523,1.434724,0.051001,-0.032416,-0.041472,0.313638,-0.948083,-1.152270,1.452501,0.957275
14,0.116667,-0.050834,0.009665,0.264519,-0.962991,-1.060833,1.624332,0.053167,0.064043,-0.041178,0.583176,-0.808770,-1.217577,1.434843,0.051043,-0.033197,-0.040706,0.313776,-0.948043,-1.152259,1.450896,0.957091
