Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
25,0.208333,0.002096,0.063421,0.984809,-0.161629,0.800704,1.092780,0.050132,0.001747,-0.048187,0.988145,0.145753,0.770650,1.347972,0.051612,0.017938,0.010189,-0.998914,-0.041788,0.763578,1.208582,0.962584
26,0.216667,0.002089,0.063370,0.984811,-0.161640,0.800703,1.092768,0.050138,0.002028,-0.048272,0.988133,0.145802,0.770654,1.347911,0.051583,0.017961,0.010136,-0.998950,-0.040920,0.763770,1.207890,0.962654
27,0.225000,0.002173,0.063191,0.984821,-0.161648,0.800716,1.092770,0.050140,0.002131,-0.048583,0.988120,0.145788,0.770651,1.347900,0.051563,0.017849,0.010045,-0.998959,-0.040762,0.764008,1.207166,0.962623
28,0.233333,0.002200,0.063159,0.984829,-0.161608,0.800715,1.092759,0.050140,0.002272,-0.048683,0.988124,0.145726,0.770655,1.347886,0.051549,0.018153,0.010319,-0.998968,-0.040328,0.764076,1.206421,0.962646
29,0.241667,0.002227,0.063017,0.984834,-0.161636,0.800729,1.092761,0.050121,0.002203,-0.048893,0.988113,0.145731,0.770659,1.347892,0.051547,0.018198,0.010096,-0.998999,-0.039599,0.764130,1.205779,0.962637
30,0.250000,0.002260,0.062950,0.984840,-0.161621,0.800738,1.092744,0.050120,0.002213,-0.048839,0.988103,0.145818,0.770639,1.347870,0.051567,0.018287,0.010074,-0.999028,-0.038830,0.764255,1.205073,0.962650
31,0.258333,0.002296,0.062937,0.984842,-0.161619,0.800749,1.092735,0.050106,0.001822,-0.049086,0.988090,0.145825,0.770617,1.347915,0.051582,0.018025,0.009843,-0.999059,-0.038201,0.764474,1.204494,0.962580
32,0.266667,0.002373,0.062838,0.984848,-0.161618,0.800752,1.092728,0.050114,0.001698,-0.049170,0.988075,0.145899,0.770604,1.347926,0.051593,0.018122,0.009969,-0.999071,-0.037804,0.764555,1.203572,0.962637
33,0.275000,0.002365,0.062781,0.984854,-0.161604,0.800759,1.092718,0.050104,0.001532,-0.049407,0.988063,0.145908,0.770594,1.347942,0.051598,0.018043,0.009824,-0.999101,-0.037097,0.764644,1.202803,0.962630
34,0.283333,0.002468,0.062559,0.984863,-0.161631,0.800778,1.092712,0.050099,0.001541,-0.049445,0.988059,0.145921,0.770581,1.347918,0.051614,0.018463,0.009715,-0.999106,-0.036757,0.764826,1.202053,0.962656
35,0.291667,0.002475,0.062453,0.984870,-0.161630,0.800798,1.092711,0.050081,0.001418,-0.049703,0.988047,0.145913,0.770567,1.347927,0.051631,0.017968,0.009831,-0.999127,-0.036405,0.764865,1.201251,0.962592
36,0.300000,0.002616,0.062324,0.984875,-0.161648,0.800806,1.092705,0.050069,0.001376,-0.049901,0.988033,0.145939,0.770563,1.347930,0.051617,0.018019,0.010024,-0.999131,-0.036223,0.764929,1.200342,0.962622
37,0.308333,0.002592,0.062347,0.984876,-0.161632,0.800833,1.092688,0.050056,0.001397,-0.050028,0.988018,0.145997,0.770562,1.347909,0.051605,0.017523,0.009941,-0.999161,-0.035669,0.765165,1.199545,0.962564
