Frame,Time (Seconds),RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
24,0.200000,0.002641,0.017161,-0.783148,-0.621593,0.202629,-0.442334,0.028929,0.050836,0.034741,-0.517319,-0.853575,0.436274,-0.435187,0.030011,-0.015215,0.004556,0.722018,0.691692,0.305119,-0.432404,0.939400
25,0.208333,0.002373,0.016723,-0.783237,-0.621494,0.202669,-0.442310,0.028927,0.050930,0.034833,-0.517309,-0.853572,0.436272,-0.435199,0.029990,-0.013327,0.005661,0.722302,0.691426,0.305890,-0.432420,0.939579
26,0.216667,0.002173,0.016312,-0.783296,-0.621431,0.202731,-0.442282,0.028919,0.050840,0.034874,-0.517290,-0.853587,0.436265,-0.435196,0.029973,-0.012895,0.006011,0.722032,0.691713,0.306790,-0.432379,0.939679
27,0.225000,0.001900,0.015853,-0.783343,-0.621385,0.202772,-0.442263,0.028917,0.050759,0.034906,-0.517253,-0.853612,0.436274,-0.435197,0.029956,-0.012997,0.007059,0.721720,0.692027,0.307824,-0.432390,0.939555
28,0.233333,0.001642,0.015450,-0.783432,-0.621283,0.202804,-0.442235,0.028921,0.050532,0.034834,-0.517232,-0.853642,0.436283,-0.435204,0.029947,-0.012757,0.007262,0.721439,0.692323,0.308759,-0.432359,0.939346
29,0.241667,0.001509,0.015153,-0.783472,-0.621240,0.202842,-0.442205,0.028926,0.050315,0.034792,-0.517246,-0.853648,0.436305,-0.435218,0.029926,-0.012238,0.007837,0.721073,0.692707,0.309619,-0.432451,0.939415
30,0.250000,0.001196,0.014742,-0.783527,-0.621181,0.202859,-0.442165,0.028915,0.049975,0.034597,-0.517251,-0.853673,0.436325,-0.435231,0.029910,-0.012305,0.008180,0.720981,0.692797,0.310480,-0.432354,0.939415
31,0.258333,0.001104,0.014540,-0.783568,-0.621135,0.202873,-0.442140,0.028920,0.049695,0.034516,-0.517246,-0.853695,0.436352,-0.435252,0.029897,-0.012595,0.007092,0.721581,0.692179,0.311348,-0.431868,0.939521
32,0.266667,0.001026,0.014371,-0.783626,-0.621066,0.202886,-0.442123,0.028925,0.049445,0.034339,-0.517288,-0.853692,0.436377,-0.435267,0.029893,-0.012080,0.006703,0.721606,0.692167,0.312283,-0.431632,0.939670
33,0.275000,0.000965,0.014213,-0.783652,-0.621037,0.202893,-0.442106,0.028932,0.049224,0.034194,-0.517347,-0.853675,0.436418,-0.435289,0.029887,-0.012017,0.007037,0.721624,0.692145,0.313213,-0.431483,0.939669
34,0.283333,0.001001,0.014188,-0.783678,-0.621005,0.202905,-0.442084,0.028927,0.048923,0.034037,-0.517349,-0.853697,0.436448,-0.435308,0.029874,-0.011870,0.007526,0.721610,0.692157,0.314191,-0.431364,0.939585
35,0.291667,0.000990,0.014089,-0.783718,-0.620956,0.202900,-0.442067,0.028934,0.048639,0.033922,-0.517314,-0.853739,0.436466,-0.435322,0.029863,-0.012363,0.008019,0.721751,0.691996,0.315053,-0.431261,0.939599
36,0.300000,0.000973,0.014031,-0.783756,-0.620909,0.202912,-0.442050,0.028938,0.048332,0.033775,-0.517322,-0.853757,0.436493,-0.435337,0.029846,-0.011958,0.008408,0.721588,0.692168,0.316038,-0.431147,0.939496
37,0.308333,0.000950,0.013847,-0.783777,-0.620887,0.202915,-0.442032,0.028945,0.048109,0.033663,-0.517291,-0.853793,0.436508,-0.435350,0.029833,-0.011581,0.008681,0.721496,0.692267,0.316958,-0.430971,0.939398
38,0.316667,0.000874,0.013739,-0.783859,-0.620786,0.202919,-0.442003,0.028962,0.047862,0.033588,-0.517268,-0.853823,0.436517,-0.435363,0.029820,-0.011213,0.008921,0.721602,0.692160,0.317857,-0.430844,0.939385
39,0.325000,0.000793,0.013529,-0.783919,-0.620715,0.202936,-0.441976,0.028967,0.047610,0.033449,-0.517255,-0.853851,0.436531,-0.435380,0.029809,-0.011361,0.009061,0.721519,0.692242,0.318812,-0.430795,0.939395
40,0.333333,0.000644,0.013343,-0.783984,-0.620637,0.202954,-0.441956,0.028970,0.047341,0.033374,-0.517238,-0.853879,0.436548,-0.435399,0.029799,-0.011483,0.009493,0.721456,0.692300,0.319787,-0.430736,0.939429
41,0.341667,0.000500,0.013063,-0.784052,-0.620557,0.202977,-0.441925,0.028973,0.047097,0.033246,-0.517224,-0.853906,0.436546,-0.435407,0.029789,-0.011361,0.009808,0.721459,0.692295,0.320648,-0.430556,0.939390
42,0.350000,0.000402,0.012783,-0.784123,-0.620474,0.202994,-0.441901,0.028980,0.046967,0.033215,-0.517236,-0.853908,0.436568,-0.435429,0.029776,-0.011278,0.010443,0.721465,0.692280,0.321614,-0.430542,0.939281
43,0.358333,0.000234,0.012505,-0.784215,-0.620363,0.203016,-0.441874,0.028976,0.046692,0.033083,-0.517215,-0.853941,0.436577,-0.435438,0.029768,-0.011078,0.010847,0.721500,0.692241,0.322507,-0.430415,0.939210
44,0.366667,0.000055,0.012294,-0.784293,-0.620269,0.203035,-0.441852,0.028971,0.046411,0.032895,-0.517247,-0.853944,0.436587,-0.435452,0.029760,-0.010902,0.010959,0.721453,0.692291,0.323442,-0.430338,0.939243
45,0.375000,0.000002,0.012150,-0.784379,-0.620162,0.203052,-0.441831,0.028968,0.046260,0.032827,-0.517290,-0.853928,0.436601,-0.435473,0.029754,-0.011432,0.011928,0.721513,0.692204,0.324431,-0.430320,0.939167
46,0.383333,-0.000114,0.011992,-0.784435,-0.620096,0.203064,-0.441812,0.028966,0.046057,0.032706,-0.517331,-0.853919,0.436619,-0.435483,0.029754,-0.011060,0.012085,0.721561,0.692157,0.325315,-0.430270,0.939067
47,0.391667,-0.000266,0.011853,-0.784534,-0.619973,0.203076,-0.441788,0.028958,0.045911,0.032609,-0.517382,-0.853900,0.436631,-0.435496,0.029746,-0.011036,0.012200,0.721760,0.691948,0.326140,-0.430192,0.939171
48,0.400000,-0.000339,0.011687,-0.784599,-0.619894,0.203080,-0.441781,0.028963,0.045724,0.032542,-0.517404,-0.853899,0.436651,-0.435500,0.029741,-0.011853,0.012086,0.721997,0.691689,0.327120,-0.430126,0.939303
49,0.408333,-0.000389,0.011641,-0.784665,-0.619810,0.203082,-0.441761,0.028960,0.045521,0.032410,-0.517445,-0.853890,0.436656,-0.435505,0.029739,-0.011289,0.012625,0.721988,0.691698,0.328049,-0.430053,0.939151
50,0.416667,-0.000374,0.011608,-0.784716,-0.619747,0.203077,-0.441753,0.028958,0.045324,0.032306,-0.517492,-0.853876,0.436662,-0.435507,0.029734,-0.012069,0.013639,0.722124,0.691524,0.329028,-0.430092,0.939081
51,0.425000,-0.000406,0.011588,-0.784801,-0.619640,0.203065,-0.441749,0.028952,0.045079,0.032206,-0.517518,-0.853877,0.436674,-0.435506,0.029734,-0.011674,0.013851,0.722329,0.691312,0.329921,-0.430051,0.939071
52,0.433333,-0.000463,0.011553,-0.784878,-0.619543,0.203043,-0.441743,0.028957,0.044891,0.032077,-0.517544,-0.853876,0.436680,-0.435513,0.029739,-0.011888,0.014262,0.722408,0.691217,0.330877,-0.430008,0.939011
53,0.441667,-0.000475,0.011561,-0.784956,-0.619444,0.203014,-0.441740,0.028956,0.044714,0.031876,-0.517613,-0.853851,0.436689,-0.435528,0.029754,-0.012177,0.014037,0.722806,0.690801,0.331790,-0.429857,0.939125
54,0.450000,-0.000381,0.011661,-0.784995,-0.619393,0.202996,-0.441747,0.028962,0.044625,0.031857,-0.517629,-0.853847,0.436707,-0.435522,0.029740,-0.012528,0.014049,0.723234,0.690347,0.332644,-0.429710,0.939189
55,0.458333,-0.000295,0.011745,-0.785047,-0.619324,0.202977,-0.441758,0.028956,0.044495,0.031728,-0.517670,-0.853833,0.436722,-0.435530,0.029744,-0.012434,0.014559,0.723442,0.690120,0.333597,-0.429650,0.939137
56,0.466667,-0.000292,0.011775,-0.785082,-0.619280,0.202959,-0.441760,0.028958,0.044273,0.031513,-0.517755,-0.853801,0.436729,-0.435550,0.029757,-0.013051,0.014684,0.723526,0.690018,0.334618,-0.429596,0.939154
57,0.475000,-0.000354,0.011813,-0.785141,-0.619205,0.202948,-0.441768,0.028967,0.044062,0.031359,-0.517859,-0.853755,0.436754,-0.435562,0.029766,-0.013213,0.015515,0.723693,0.689821,0.335580,-0.429480,0.939084
58,0.483333,-0.000339,0.011824,-0.785162,-0.619177,0.202945,-0.441777,0.028965,0.043930,0.031312,-0.517932,-0.853719,0.436769,-0.435574,0.029765,-0.013433,0.015999,0.723786,0.689708,0.336591,-0.429390,0.939043
59,0.491667,-0.000330,0.011854,-0.785211,-0.619114,0.202938,-0.441782,0.028963,0.043795,0.031271,-0.518045,-0.853659,0.436789,-0.435586,0.029761,-0.014148,0.016271,0.724077,0.689382,0.337486,-0.429256,0.939150
60,0.500000,-0.000353,0.011947,-0.785240,-0.619076,0.202931,-0.441795,0.028954,0.043728,0.031268,-0.518112,-0.853622,0.436806,-0.435595,0.029755,-0.013876,0.016211,0.724219,0.689240,0.338469,-0.429085,0.939168
61,0.508333,-0.000312,0.011920,-0.785273,-0.619035,0.202923,-0.441816,0.028965,0.043535,0.031194,-0.518219,-0.853569,0.436817,-0.435601,0.029751,-0.014404,0.016697,0.724357,0.689072,0.339443,-0.428981,0.939170
62,0.516667,-0.000217,0.012029,-0.785323,-0.618970,0.202910,-0.441833,0.028966,0.043325,0.031047,-0.518284,-0.853546,0.436834,-0.435624,0.029753,-0.014610,0.016920,0.724569,0.688839,0.340485,-0.428813,0.939108
63,0.525000,-0.000156,0.012013,-0.785373,-0.618906,0.202896,-0.441839,0.028966,0.043163,0.030877,-0.518369,-0.853509,0.436847,-0.435629,0.029761,-0.014941,0.017787,0.724594,0.688785,0.341642,-0.428825,0.939051
64,0.533333,-0.000026,0.012068,-0.785459,-0.618797,0.202878,-0.441849,0.028972,0.042825,0.030615,-0.518483,-0.853466,0.436858,-0.435637,0.029777,-0.015676,0.019132,0.724599,0.688727,0.342813,-0.428788,0.938937
65,0.541667,0.000078,0.012060,-0.785546,-0.618686,0.202849,-0.441868,0.028976,0.042608,0.030476,-0.518581,-0.853422,0.436875,-0.435652,0.029792,-0.016043,0.018604,0.724803,0.688518,0.343910,-0.428529,0.938945
66,0.550000,0.000339,0.012275,-0.785628,-0.618577,0.202824,-0.441890,0.028983,0.042288,0.030237,-0.518709,-0.853369,0.436889,-0.435661,0.029801,-0.017009,0.019048,0.725108,0.688162,0.345038,-0.428385,0.938953
67,0.558333,0.000563,0.012438,-0.785717,-0.618461,0.202783,-0.441905,0.028994,0.042007,0.030041,-0.518843,-0.853308,0.436904,-0.435675,0.029816,-0.017591,0.019693,0.725033,0.688208,0.346145,-0.428284,0.938834
68,0.566667,0.000869,0.012648,-0.785820,-0.618325,0.202754,-0.441907,0.028998,0.041687,0.029876,-0.518967,-0.853254,0.436923,-0.435690,0.029815,-0.017734,0.019821,0.725199,0.688026,0.347292,-0.428113,0.938814
69,0.575000,0.001112,0.012751,-0.785961,-0.618144,0.202708,-0.441902,0.029016,0.041414,0.029754,-0.519097,-0.853193,0.436945,-0.435706,0.029820,-0.017533,0.019977,0.725327,0.687891,0.348348,-0.427993,0.938857
70,0.583333,0.001513,0.013037,-0.786077,-0.617989,0.202676,-0.441890,0.029034,0.041720,0.029770,-0.519419,-0.852982,0.436993,-0.435758,0.029860,-0.018567,0.020587,0.725427,0.687740,0.349499,-0.427875,0.939137
71,0.591667,0.001928,0.013186,-0.786162,-0.617877,0.202623,-0.441893,0.029071,0.041506,0.029786,-0.519602,-0.852880,0.437026,-0.435785,0.029845,-0.018131,0.021009,0.725253,0.687923,0.350623,-0.427713,0.938722
72,0.600000,0.002497,0.013397,-0.786262,-0.617743,0.202569,-0.441866,0.029111,0.041094,0.029604,-0.519765,-0.852807,0.437043,-0.435799,0.029840,-0.018802,0.021466,0.725351,0.687787,0.351817,-0.427604,0.938809
73,0.608333,0.003099,0.013561,-0.786350,-0.617625,0.202506,-0.441841,0.029163,0.040671,0.029339,-0.519970,-0.852711,0.437064,-0.435822,0.029851,-0.018511,0.022066,0.725104,0.688037,0.352971,-0.427638,0.938705
74,0.616667,0.003753,0.013772,-0.786456,-0.617482,0.202438,-0.441809,0.029228,0.040222,0.029073,-0.520167,-0.852621,0.437083,-0.435833,0.029859,-0.018527,0.022051,0.725390,0.687735,0.354215,-0.427552,0.938855
75,0.625000,0.004794,0.014421,-0.786585,-0.617295,0.202412,-0.441737,0.029239,0.039774,0.028848,-0.520386,-0.852516,0.437102,-0.435846,0.029862,-0.018858,0.022885,0.725282,0.687813,0.355484,-0.427557,0.938764
76,0.633333,0.006370,0.015464,-0.786756,-0.617037,0.202484,-0.441611,0.029175,0.039331,0.028681,-0.520594,-0.852416,0.437119,-0.435865,0.029862,-0.018123,0.023446,0.725186,0.687915,0.356733,-0.427724,0.938485
77,0.641667,0.007203,0.015392,-0.786969,-0.616758,0.202444,-0.441511,0.029278,0.038747,0.028371,-0.520800,-0.852327,0.437133,-0.435884,0.029868,-0.019329,0.023839,0.725379,0.687665,0.357988,-0.427604,0.938662
78,0.650000,0.007910,0.014734,-0.787164,-0.616517,0.202353,-0.441391,0.029431,0.038186,0.028157,-0.521018,-0.852226,0.437144,-0.435919,0.029866,-0.019267,0.024098,0.725542,0.687486,0.359313,-0.427707,0.938590
79,0.658333,0.009054,0.014872,-0.787635,-0.615896,0.202349,-0.441211,0.029567,0.037479,0.027882,-0.521208,-0.852150,0.437172,-0.435976,0.029855,-0.018461,0.023815,0.725457,0.687608,0.360530,-0.427771,0.938414
