frame_id,timestamp,gait_type,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,root_acceleration_x,root_acceleration_y,root_acceleration_z,left_acceleration_x,left_acceleration_y,left_acceleration_z,right_acceleration_x,right_acceleration_y,right_acceleration_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.008333,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,-0.010920436817480289,-0.027961118444729115,0.0027601104044160225,0.0026401056042201477,-0.0018000720028919079,0.0027601104044160225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09464699999999993,0.092468,-0.014876999999999998,-0.16036800000000007,0.02761799999999992,-0.015583999999999997,0.255015,0.06485000000000007,0.0007069999999999993,0.9426889617054468,0.9929626736726392,double,-0.014876999999999998
2,0.016667,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,0.020758339332850817,-0.005999520038409588,-0.004919606431485405,0.0021598272138317145,-0.0005999520038436232,0.002879769618430491,0.0,0.0,0.0,3.801149046116043,2.6351809942788003,-0.9214923009240973,-0.05762879654288854,0.1440028796554217,0.014357957045172632,0.0948199999999999,0.09241799999999989,-0.014917999999999997,-0.16035,0.027612999999999888,-0.015559999999999997,0.2551699999999999,0.064805,0.0006420000000000002,0.9566451692545667,0.9939177240517679,double,-0.014917999999999997
3,0.025,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,0.01860074402977646,-0.005400216008649077,-0.00180007200288025,0.0015600624025009907,0.001680067202683126,0.005160206408256494,0.0,0.0,0.0,-0.2589217932406523,0.07191936034567516,0.37435910579685044,-0.07197465634594069,0.2736132493131824,0.2736633613135729,0.09497500000000003,0.09237299999999982,-0.014932999999999998,-0.16033699999999995,0.027626999999999846,-0.015516999999999996,0.255312,0.06474599999999997,0.0005839999999999977,0.9617395730279981,0.990588991274836,double,-0.014932999999999998
4,0.033333,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,0.021960878435116068,-0.008760350414015329,0.0012000480019204443,0.0013200528021100738,-0.0003600144005730523,0.0006000240009598058,0.0,0.0,0.0,0.40323225793107,-0.4032322579342676,0.36002880172815244,-0.028802304139075592,-0.2448195851741484,-0.5472437786267478,0.09515799999999985,0.09229999999999983,-0.014922999999999995,-0.16032599999999997,0.02762399999999987,-0.015511999999999998,0.2554839999999998,0.06467599999999996,0.0005890000000000027,0.9546531305718511,0.9975099204772256,double,-0.014922999999999995
5,0.041667,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,0.017998560115202122,-0.006959443244527413,0.0037197024238060684,0.003479721622250385,0.00047996160308555583,0.002279817614591031,0.0,0.0,0.0,-0.47544016317661925,0.21609157301270887,0.30233434387876457,0.259139527254657,0.1007890573144478,0.2015591089070344,0.09530799999999995,0.09224199999999994,-0.014891999999999996,-0.16029700000000013,0.027627999999999986,-0.015492999999999996,0.2556050000000001,0.06461399999999995,0.0006010000000000008,0.9612359416163427,0.9930205870064182,double,-0.014891999999999996
6,0.05,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,0.00732029281172312,-0.006840273610941286,-0.005160206408256494,0.0014400576023188556,0.0003600144005730523,0.001440057602303867,0.0,0.0,0.0,-1.2814433341508462,0.014300928067457919,-1.0656316851149121,-0.24476947317071038,-0.014394240071103268,-0.10077523248375901,0.09536900000000004,0.09218499999999996,-0.014934999999999997,-0.160285,0.02763099999999996,-0.015480999999999998,0.25565400000000005,0.064554,0.0005460000000000013,0.9757573425071515,0.9965531245370427,double,-0.014934999999999997
7,0.058333,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,-0.003240129605184117,-0.004560182407294191,-0.012120484819392824,0.002760110404402283,0.0008400336013282398,0.0002400096003842554,0.0,0.0,0.0,-1.2673013820841519,0.27362188931322395,-0.8352668200091599,0.15841267275692156,0.0576046082749535,-0.14401152069118103,0.09534200000000004,0.09214699999999998,-0.015035999999999997,-0.16026200000000013,0.02763799999999983,-0.015478999999999996,0.25560400000000016,0.06450900000000015,0.00044299999999999895,0.973321413546567,0.9951748717621742,double,-0.015035999999999997
8,0.066667,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,-0.0074394048476129696,-0.0022798176145897822,-0.011039116870650147,0.0016798656107728021,0.00011999040078471056,0.002039836813054914,0.0,0.0,0.0,-0.5038727192739203,0.2736218853736991,0.12975377354723736,-0.12961900571508048,-0.08639827220344722,0.2159619885613941,0.09528000000000003,0.09212799999999999,-0.015127999999999996,-0.16024799999999995,0.02763899999999997,-0.015461999999999997,0.255528,0.06448900000000002,0.00033400000000000096,0.9741504702819281,0.9955912711612732,double,-0.015127999999999996
9,0.075,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,-0.004680187207502976,0.0015600624024743456,-0.0021600864034562184,0.00264010560422015,-0.0012000480019279396,0.00024000960038383923,0.0,0.0,0.0,0.331119361587663,0.4608040342090641,1.065526277114357,0.11523340855002381,-0.15841094476330866,-0.2159879050367306,0.09524099999999991,0.0921409999999998,-0.015145999999999996,-0.16022599999999998,0.027628999999999904,-0.015459999999999998,0.2554669999999999,0.0645119999999999,0.0003140000000000018,0.9878841186958103,0.9951500637413575,double,-0.015145999999999996
10,0.083333,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,-0.005640225609013343,-0.0013200528021100728,0.0026401056042238925,0.0022800912036470937,0.00036001440057305197,0.00240009600384047,0.0,0.0,0.0,-0.11520921654990587,-0.34562764965611614,0.5760460827649234,-0.04320345620701498,0.1872149768991948,0.25922073724428524,0.095194,0.09212999999999982,-0.015123999999999999,-0.160207,0.02763199999999988,-0.015439999999999995,0.255401,0.06449799999999994,0.00031599999999999684,0.9862301458379509,0.9944500032299259,double,-0.015123999999999999
11,0.091667,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,-0.005159587233023191,0.0002399808015427781,0.0029997600191985522,0.002999760019191475,-0.0007199424046016911,0.0019198464122868568,0.0,0.0,0.0,0.05767199135950947,0.18718905731375715,0.04315507739076793,0.08635334959735802,-0.12958444986498005,-0.0576253409591569,0.09515099999999999,0.09213199999999988,-0.015098999999999998,-0.16018200000000005,0.02762599999999993,-0.015423999999999997,0.25533300000000003,0.06450599999999995,0.0003249999999999989,0.986794893636783,0.993944082901489,double,-0.015098999999999998
12,0.1,stair_acsent,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033601344053928958,-0.0022800912036470937,0.0034801392055683693,0.002040081603256177,0.0015600624025009894,0.001680067202688121,0.0,0.0,0.0,0.21594297703471665,-0.3024207374522825,0.057647808276709074,-0.1151660165528978,0.27361152131317396,-0.028774656138093796,0.09512299999999985,0.09211299999999989,-0.015069999999999997,-0.1601650000000001,0.02763899999999997,-0.015409999999999997,0.25528799999999996,0.06447399999999992,0.00034,0.9876867314871798,0.9948851106634135,double,-0.015069999999999997
