frame_id,timestamp,gait_type,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,root_acceleration_x,root_acceleration_y,root_acceleration_z,left_acceleration_x,left_acceleration_y,left_acceleration_z,right_acceleration_x,right_acceleration_y,right_acceleration_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
<<<<<<< HEAD
<<<<<<< HEAD
1,0.008333,step_decsent,-0.02052082083283052,-0.09480379215168429,-0.029521180847256752,0.008351389654974393,0.09725858460645383,0.07714112078823811,-0.0019200768030673814,0.0002400096003775938,-0.0014400576023055323,-0.006480259210368234,0.002640105604224311,-0.008400336013442276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035368999999999984,0.10414699999999996,-0.9095679999999999,-0.023036,-0.16678700000000002,-0.9056009999999999,0.012332999999999983,0.27093399999999995,0.003967000000000054,0.9959798889471154,0.9421084039778684,double,-0.9056009999999999
2,0.016667,step_decsent,-0.050515958723302695,-0.10811135109191418,-0.025437964962788447,0.44700481430208394,-0.049274820302747546,-0.0186181686668618,-0.002039836813053665,0.00035997120230750603,0.0010799136069158573,-0.005399568034559305,0.0013198944084469788,-0.005999520038396267,-3.5991286165673353,-1.5967793304811482,0.4899467103993646,-0.01437005159422648,0.01439424069233408,0.3023723553181413,0.12967256729168813,-0.15841267047964147,0.2880748710158399,-0.03496499999999997,0.105051,-0.909347,-0.022660000000000013,-0.165875,-0.9054390000000001,0.012304999999999955,0.270926,0.0039079999999999115,0.9961067269950517,0.9472887759475616,double,-0.9054390000000001
3,0.025,step_decsent,-0.008760350414015329,-0.10920436817472629,0.03864154566181849,-0.2634024559113871,-0.06966148946967235,0.17053503837821588,-0.0002400096003842554,0.0001200048001887969,-0.0004800192007685108,-0.003600144005757169,0.0014400576023046996,-0.007800312012478308,5.010873432051766,-0.1311672966293179,7.689848868907587,0.21598790503653062,-0.02879712013905066,-0.18719942489912014,0.21593952103709774,0.014420160069329275,-0.2161036810370864,-0.03489399999999998,0.10596199999999997,-0.909673,-0.022616999999999998,-0.16495300000000002,-0.905826,0.012276999999999982,0.27091499999999996,0.003846999999999934,0.999083448198937,0.9470118437185864,double,-0.905826
4,0.033333,step_decsent,-0.01488059522381051,-0.0987639505580245,-0.01788071522860371,0.003698360376453214,0.028244981827940906,0.08303780842342576,-0.00012000480019545849,-0.000840033601341563,0.0003600144005730523,-0.004800192007678446,0.0016800672026881223,-0.006240249609983978,-0.7344587555256428,1.2529002300134142,-6.782942624555646,0.014401152068738378,-0.11520921655230529,0.10080806448356693,-0.14401152069138093,0.02880230413817625,0.18721497689839547,-0.034770999999999996,0.10677800000000001,-0.909521,-0.02253299999999997,-0.16411599999999998,-0.905729,0.012238000000000027,0.27089399999999997,0.0037920000000000176,0.9984637093988071,0.9486630554572217,double,-0.905729
5,0.041667,step_decsent,-0.05039596832253131,-0.11651067914566829,-0.017518598512116564,0.3276914243158257,-0.04893674115461478,-0.012272338676440887,0.0010799136069091966,-0.0011999040076805855,-0.00011999040076472815,-0.002399808015361171,0.0010799136069108617,-0.004439644828414836,-4.2615038515383725,-2.1294370755512095,0.043450529936062694,0.143978690557314,-0.043180994281140195,-0.057595968483055,0.2880230372350942,-0.07201267047963289,0.21605528936514778,-0.03434200000000004,0.107739,-0.909376,-0.022133000000000014,-0.163136,-0.9056200000000001,0.012209000000000025,0.270875,0.0037559999999998706,0.9973020683218893,0.9538383628639252,double,-0.9056200000000001
6,0.05,step_decsent,-0.02208088323533151,-0.09552382095283705,0.024720988839544995,-0.035086012036002014,-0.14152261707526215,0.10367068255746142,0.00108004320173248,-0.0007200288011527661,0.000840033601341563,-0.0013200528021100738,0.0,-0.004200168006721138,3.397946128309108,2.5185237240887117,5.068953240329,1.555200087405275e-05,0.057587328276469375,0.11520748855229702,0.12957580862247656,-0.12959481662196828,0.02873836813796929,-0.034148999999999985,0.10852899999999999,-0.909575,-0.02195999999999998,-0.16233999999999998,-0.905861,0.012189000000000005,0.27086899999999997,0.003713999999999995,0.9974230771777386,0.9555221319541402,double,-0.905861
7,0.058333,step_decsent,-0.027001080043198754,-0.08964358574342945,-0.003600144005757169,0.15786920653581152,-0.1516999778369072,-0.0005134166642969522,0.002400096003835892,0.00012000480019545849,0.000840033601341563,-0.0004800192007685108,0.0001200048001921277,-0.004320172806909935,-0.5904472348334625,0.7056564513869674,-3.398671888311792,0.1584126727593198,0.10080806448436633,0.0,0.10080806448356691,0.01440115206913809,-0.014401152068738403,-0.033904000000000045,0.10927700000000001,-0.909538,-0.02173900000000001,-0.161592,-0.905867,0.012165000000000037,0.270869,0.00367099999999998,0.9957571896004725,0.9560426417328753,double,-0.905867
8,0.066667,step_decsent,-0.01715862730981572,-0.09959203263738868,-0.03815694744420931,0.08259874179414009,0.00019361556822547474,0.010358752554554809,0.0016798656107528196,-0.0009599232061444684,0.002519798416125899,-0.0002399808015361171,0.0005999520038394602,-0.0038396928245778734,1.1809998480181223,-1.193718129824721,-4.146484693838749,-0.08642073351128778,-0.1295809942812487,0.20155565332185457,0.028802303723589353,0.05758905731309484,0.057652985640996135,-0.03374700000000003,0.110099,-0.909199,-0.021598000000000006,-0.160757,-0.905581,0.012149000000000021,0.270856,0.00361800000000001,0.9947051426706359,0.9573305268620095,double,-0.905581
