frame_id,timestamp,gait_type,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,root_acceleration_x,root_acceleration_y,root_acceleration_z,left_acceleration_x,left_acceleration_y,left_acceleration_z,right_acceleration_x,right_acceleration_y,right_acceleration_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.008333,stand,0.041641665666625007,0.05124204968198856,-0.0020400816032561785,0.11321340718482172,-0.11099065273552447,-0.01074147821812739,-0.0004800192007685108,0.0026401056042268094,0.0009600384015357725,0.002760110404415606,0.0010800432017283165,0.010320412816512156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07432099999999997,-0.15498800000000001,-0.906935,-0.13977300000000004,0.134811,-0.901231,0.214094,0.28979900000000003,0.005704000000000042,0.9952500731681075,0.9250640333947228,double,-0.901231
2,0.016667,stand,0.03443724502038951,0.04559635229181562,-0.03935685145188324,0.4119822732422921,-0.16402192698993465,-0.10698980397743135,-0.0008399328053730795,0.0034797216222703675,-0.00011999040076764225,-0.0038396928245778734,0.006359491240700859,0.019438444924406335,-0.8644613206426083,-0.6774294924613559,-4.477654169501686,-0.043186177658335566,0.10074586249622725,-0.1295930888293034,-0.7919130344364625,0.6334830860298226,1.0940763268411542,0.07402700000000006,-0.155339,-0.9066080000000001,-0.140092,0.134484,-0.900741,0.21411900000000006,0.289823,0.005867000000000067,0.9940305529331264,0.9066473309807797,double,-0.900741
3,0.025,stand,0.036361454458184714,0.041641665666625007,0.009960398415929944,-0.08900753135375987,0.044696563017566276,-0.15875786314362691,-0.00024000960039091698,0.004320172806909935,0.0,-0.0030001200047932,0.010440417616704284,0.010920436817472795,0.23091436911018912,-0.47458137827800473,5.918306716406238,0.07199366434443327,0.10085817648380749,0.014399424069079833,0.10075276848490022,0.489730754350585,-1.0222018609064611,0.07372199999999995,-0.15565,-0.906691,-0.14042,0.134224,-0.900733,0.21414199999999994,0.289874,0.005958000000000019,0.992788608993435,0.9147479778131282,double,-0.900733
4,0.033333,stand,0.041161646465856495,0.036001440057605,0.0028801152046110646,-0.03708944515344587,-0.038869974114232174,-0.09755087491886973,-0.001680067202683126,0.006240249609983978,0.00024000960038383904,0.0009600384015370216,0.006000240009600556,0.0021600864034558003,0.5760460827639243,-0.6768541472482907,-0.8496679720771485,-0.1728138248280582,0.23041843310620938,0.028802304138226213,0.4752380182803578,-0.5328426265575096,-1.0512841010460812,0.07336500000000001,-0.15589800000000004,-0.906713,-0.14075499999999996,0.13397399999999998,-0.900739,0.21411999999999998,0.289872,0.005974000000000035,0.989221814004317,0.9295115469878437,double,-0.900739
5,0.041667,stand,0.042116630669545255,0.035637149028076756,0.004319654427650108,-0.10481223347152269,0.14515100962588875,-0.15649475389757345,-0.0007199424046150121,0.0041996640268787185,0.0002399808015361171,0.0026397888168906273,-0.0014398848092154538,-0.0015598752099830959,0.11458893732766488,-0.04371142662925889,0.1727308882936217,0.11520575930742907,-0.24485068191807766,-3.455585279811322e-06,0.20155392552839038,-0.8927435587732192,-0.4463596848378804,0.07300799999999996,-0.15616000000000002,-0.9067470000000001,-0.141084,0.133665,-0.900788,0.21409199999999995,0.289825,0.005959000000000048,0.9928872013263789,0.9347642139774898,double,-0.900788
6,0.05,stand,0.04308172326893054,0.027361094443778468,-0.01656066242650696,0.01708656987448473,-0.15817614163044127,-0.1657296229977933,-0.000600024000950646,0.005040201608069363,-0.001200048001920028,0.0018000720028785845,-0.0025201008040317673,-0.0008400336013440611,0.11581574455601647,-0.9931662767668652,-2.5057382520289293,0.014390784071086769,0.10086854448465676,-0.17281036882949058,-0.10077004848338447,-0.1296311046221425,0.08638444841462074,0.07264400000000004,-0.15634599999999998,-0.906619,-0.141428,0.13341599999999998,-0.9006569999999999,0.21407200000000004,0.28976199999999996,0.005962000000000023,0.9913071267602238,0.9350318892927253,double,-0.9006569999999999
7,0.058333,stand,0.054842193687752394,0.04140165606624075,-0.029161166446657054,0.16779539875684418,-0.14647575945356994,-0.2566908910044176,-0.00408016320652568,0.0034801392055683724,-0.0004800192007680944,0.003960158406343545,-0.005520220808832461,-0.0036001440057605,1.4113129027747335,1.6849347920871574,-1.5121209672567018,-0.41763341000540427,-0.1872149768991949,0.08640691241472861,0.25922073724528505,-0.3600288017281524,-0.3312264975898763,0.07215300000000002,-0.15666199999999997,-0.90638,-0.14185199999999998,0.133025,-0.9004439999999999,0.214005,0.289687,0.005936000000000052,0.991026347344227,0.9278254326335857,double,-0.9004439999999999
8,0.066667,stand,0.04079673626109994,0.02627789776817818,-0.010079193664503596,-0.02416698168846251,-0.04370054299686078,-0.1503588426280114,-0.00011999040077138896,0.004799616030715681,-0.00035997120230375936,0.00407967362610733,-0.008159347252220072,-0.0022798176145906145,-1.6853200655930467,-1.8147058193019643,2.2896535615734885,0.47518272207274903,0.1583245530534328,0.014404607447124435,0.014340679117324815,-0.3166698396193437,0.15842649282096058,0.07181199999999999,-0.15684099999999998,-0.906299,-0.142158,0.13273800000000002,-0.900379,0.21397,0.289579,0.005919999999999925,0.9919756808864365,0.9251283471734557,double,-0.900379
9,0.075,stand,0.039721588863551,0.029881195247809845,0.004320172806916601,-0.1785197634366391,0.020197772156702588,-0.12360450209388105,0.0008400336013415638,0.0025201008040313527,-0.0006000240009602226,0.0028801152045977436,-0.00648025921036824,-0.004920196807872243,-0.12902284861981814,0.43241299407556333,1.7279930962942769,0.11520748855309655,-0.2735527693128922,-0.02880748813830114,-0.14395276869189813,0.20149862496721874,-0.3168581775208965,0.071488,-0.157069,-0.90634,-0.14246500000000006,0.13243500000000002,-0.900456,0.21395300000000006,0.289504,0.005884,0.9954610961566847,0.926774710479344,double,-0.900456
10,0.083333,stand,0.03876155046201391,0.0276011040441627,-0.010560422416893905,0.0005267881102652692,-0.08794731031422473,-0.1278623368631866,0.0013200528021100728,0.0034801392055683693,-0.00048001920076809403,0.0021600864034649584,-0.006360254410176517,-0.005040201608064363,-0.11520921655311218,-0.2736218893132298,-1.7857428565715219,0.05760460827655209,0.11520921655310402,0.014401152069138178,-0.08640691241243066,0.014401152069089478,-0.01440115206913715,0.07117600000000002,-0.15727,-0.9062560000000001,-0.14276999999999995,0.132152,-0.90041,0.21394599999999997,0.289422,0.005846000000000018,0.9937451514976161,0.9275437265195201,double,-0.90041
