frame_id,timestamp,gait_type,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,root_acceleration_x,root_acceleration_y,root_acceleration_z,left_acceleration_x,left_acceleration_y,left_acceleration_z,right_acceleration_x,right_acceleration_y,right_acceleration_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.008333,stand,0.0025201008040330163,0.0014400576023055323,-0.0022800912036470954,-0.0032093902039591754,-0.015971638428218148,-0.010108480330839725,0.0006000240009606385,0.0,0.0016800672026881223,0.0004800192007685108,-0.0004800192007685108,0.0007200288011523498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10831900000000001,-0.10480100000000003,-0.909607,0.061752999999999995,0.16653300000000004,-0.904386,0.170072,0.2713340000000001,0.005221000000000031,0.9970266673172286,0.9461406917774229,double,-0.904386
2,0.016667,stand,0.003479721622268702,-0.00011999040077138896,-0.002879769618433405,-0.0034221842560481076,-0.03246394435075113,-0.002764505544284173,-0.0005999520038402927,0.00011999040077138896,-0.001319894408447395,-0.00011999040076805855,0.0,-0.0011999040076793367,0.11514528656535705,-0.187190785106422,-0.07195565332209138,-0.14398560172797348,0.014397696276864524,-0.35996659600858133,-0.07199539255298407,0.057597696276519166,-0.23037350717922803,-0.108353,-0.10479899999999998,-0.909594,0.06172300000000001,0.16653400000000007,-0.904372,0.170076,0.27133300000000005,0.00522200000000006,0.9975753228435751,0.9457701856609231,double,-0.904372
3,0.025,stand,0.0016800672026881223,0.0015600624025009907,-0.001680067202683126,-0.004845974442933503,-0.006325330168672877,-0.0020191009557020247,0.0002400096003842554,0.0,0.0004800192007680944,-0.0004800192007685108,-0.0006000240009639692,-0.0002400096003842554,-0.21596716903643104,0.2016144009687243,0.14397004869198116,0.10079942448392513,-0.014399424069529456,0.2159982730367802,-0.043205184207422566,-0.07200576034609016,0.11519193655287187,-0.108365,-0.10481200000000002,-0.909576,0.061705,0.166516,-0.90436,0.17007,0.271328,0.005215999999999998,0.9991055370304811,0.9464983055457166,double,-0.90436
4,0.033333,stand,0.0019200768030723776,-0.0007200288011461046,-0.002400096003842554,-0.006025545771743225,-0.020712919554557282,-0.0036151019021240962,0.00036001440057638307,-0.00012000480019545849,-0.0001200048001921277,0.0008400336013440611,0.00012000480019545849,0.0008400336013440611,0.028802304138276173,-0.27362188931322395,-0.08640691241562796,0.014401152069138086,-0.0144011520695378,-0.07200576034564048,0.15841267276041907,0.08640691241562795,0.12961036862214287,-0.108378,-0.1048070000000001,-0.909557,0.061696,0.16652299999999998,-0.904333,0.170074,0.27133000000000007,0.005223999999999895,0.999336648507867,0.945769945523607,double,-0.904333
5,0.041667,stand,0.002279817614591447,0.0004799616030722342,0.00011999040077138896,-0.0006120170100683707,-0.010846108511727806,0.003383161462441339,0.0004799616030722342,0.00011999040077138896,-0.00011999040076805855,-0.0005999520038394602,0.0,0.0,0.04316544414675659,0.14398732951983903,0.30238617765946035,0.014392512898470254,0.02879712034639398,1.727792664885307e-06,-0.17278444986603325,-0.014399424069529454,-0.10079596848380862,-0.108393,-0.10481000000000007,-0.909559,0.061672,0.16651899999999997,-0.9043340000000001,0.170065,0.27132900000000004,0.005224999999999924,0.9991515397393949,0.9467500799936008,double,-0.9043340000000001
6,0.05,stand,0.001440057602303867,0.0003600144005730523,-0.00012000480019545849,0.010673195112017081,0.007348453324145424,0.006253368101036117,0.0001200048001921277,0.00012000480019545849,0.001200048001920028,0.00036001440057638307,-0.0002400096003842554,-0.00024000960038383904,-0.10077523248380897,-0.014394240069504606,-0.028800576139067256,-0.043196544207381074,1.7280000083443683e-06,0.15841094476036077,0.11520057655296331,-0.02880230413827618,-0.028802304138226213,-0.108404,-0.10481200000000002,-0.909548,0.061663,0.166514,-0.904335,0.170067,0.271326,0.005213000000000023,0.9979800182130556,0.9470453458887116,double,-0.904335
7,0.058333,stand,0.0025201008040330163,-0.0014400576023055323,0.000840033601341563,-0.013677196863969848,-0.007531548608214289,-0.00046955780229501753,-0.0002400096003842554,-0.00012000480019545849,0.0001200048001921277,-0.0006000240009606385,0.0001200048001887969,-0.00036001440057596674,0.12961036862224282,-0.21601728103667162,0.1152092165531047,-0.04320345620741427,-0.0288023041390756,-0.1296103686220929,-0.11520921655310472,0.04320345620701455,-0.01440115206913809,-0.10842700000000001,-0.10480100000000003,-0.909554,0.06163699999999999,0.16652699999999998,-0.904345,0.170064,0.271328,0.005209000000000019,0.9995100824547388,0.9467267367128487,double,-0.904345
8,0.066667,stand,0.0023998080153578407,-0.00035997120230084524,0.0013198944084453137,-0.008651277549385035,-0.005052128065367783,0.006749884133924256,-0.0002399808015361171,0.0,-0.001079913606911278,0.0002399808015361171,-0.0002399808015361171,0.0004799616030714016,-0.014433979922627266,0.12960000000056238,0.05757869055720549,3.455585329770614e-06,0.014399424069529454,-0.1439786905571641,0.10079251289857877,-0.04319481662165994,0.10078905731309913,-0.108449,-0.10479800000000006,-0.909574,0.061619,0.16652799999999995,-0.9043519999999999,0.170068,0.271326,0.00522200000000006,0.9981562386094529,0.9468002824802885,double,-0.9043519999999999
9,0.075,stand,0.0018000720028802516,0.0008400336013415638,-0.001320052802110075,0.01154770165329726,0.011029273978403014,0.013507548203182522,0.0002400096003842556,-0.00036001440057305256,0.0006000240009598062,0.0001200048001921278,0.0009600384015370224,0.0006000240009602226,-0.07197120034532456,0.14400633669055682,-0.31680633752014764,0.057601152276535825,-0.04320345620701462,0.20160057696760897,-0.014397696069121493,0.1440080646913645,0.014408064069221294,-0.108462,-0.10480800000000001,-0.909558,0.061605,0.16652899999999998,-0.904336,0.170067,0.271337,0.005221999999999949,0.9987670678821241,0.9458825575061978,double,-0.904336
10,0.083333,stand,0.0014400576023038656,-0.0013200528021100728,-0.0022800912036470937,-0.00327960571851403,-0.006726535369488425,0.019926060386779014,0.00048001920076851036,0.0,0.00024000960038425518,0.0006000240009598053,-0.00024000960038425518,0.0,-0.04320345620741457,-0.25922073724368594,-0.11520921655310427,0.02880230413827608,0.04320345620701455,-0.04320345620731438,0.05760460827645231,-0.14401152069138085,-0.07200576034564048,-0.10847,-0.10479700000000003,-0.909537,0.061598,0.16653799999999996,-0.904317,0.170068,0.271335,0.005220000000000002,0.9991055370304804,0.9467229239555315,double,-0.904317
11,0.091667,stand,0.0033597312215023116,-0.0005999520038436236,-0.001559875209988093,0.027983911747588457,-0.0036698899511643083,0.008024444908224692,-0.0010799136069125279,0.0,0.0007199424046075193,-0.0002399808015352847,-0.0002399808015361173,-0.00035997120230375963,0.2303424069112608,0.08640518337730377,0.08641900571862265,-0.18717696276470355,0.0,0.057587329520430094,-0.100792512898379,3.455585329718579e-06,-0.04319308882934484,-0.108507,-0.104792,-0.9095179999999999,0.061568000000000005,0.166541,-0.904307,0.170075,0.271333,0.005210999999999966,0.9978368422873372,0.9470654448392897,double,-0.904307
12,0.1,stand,0.001320052802111738,0.0022800912036470937,0.0006000240009639688,0.004605497781135495,0.029602800494110675,0.005236371692441229,0.0010800432017291483,0.0001200048001954584,-0.0019200768030719598,0.0,0.0003600144005797136,-0.00024000960038425518,-0.2447712011749156,0.34561900965927217,0.25919827324517697,0.2592051852444107,0.014401152069537777,-0.31681497752063803,0.028798848138159666,0.07200230434607349,0.014395968069063283,-0.108509,-0.10480999999999996,-0.909539,0.06155700000000001,0.16652500000000003,-0.904314,0.170066,0.271335,0.005225000000000035,0.9963228976537352,0.9470288608993378,double,-0.904314
