frame_id,timestamp,gait_type,root_linear_velocity_x,root_linear_velocity_y,root_linear_velocity_z,root_angular_velocity_x,root_angular_velocity_y,root_angular_velocity_z,left_linear_velocity_x,left_linear_velocity_y,left_linear_velocity_z,right_linear_velocity_x,right_linear_velocity_y,right_linear_velocity_z,root_acceleration_x,root_acceleration_y,root_acceleration_z,left_acceleration_x,left_acceleration_y,left_acceleration_z,right_acceleration_x,right_acceleration_y,right_acceleration_z,left_pos_rel_x,left_pos_rel_y,left_pos_rel_z,right_pos_rel_x,right_pos_rel_y,right_pos_rel_z,step_length,step_width,step_height,left_contact_prob,right_contact_prob,support_type,max_foot_height
1,0.008333,stand,0.0008400336013548863,-0.01776071042839493,-0.0020400816032561785,-0.0831253312613053,0.03638202673127658,-0.0014443320988281206,-0.0013200528021100738,0.0008400336013282398,-0.0003600144005755504,-0.0022800912036470954,0.00012000480020878171,-0.0008400336013440611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08480600000000016,-0.10397200000000018,-0.9092290000000001,-0.02007900000000018,0.150717,-0.9072180000000001,0.06472699999999998,0.25468900000000017,0.002010999999999985,0.997324075330978,0.9758352108218905,double,-0.9072180000000001
2,0.016667,stand,0.0007199424046016905,-0.01571874250061234,0.006359491240697112,-0.04005625141099062,0.1907889940478179,0.022233598371709157,-0.0026397888168906273,0.00023998080154277791,0.00011999040076805855,-0.0023998080153478495,0.0015598752099880916,-0.002159827213822556,-0.014409790827117323,0.24501655000990985,1.0078681118254487,-0.1583556533214007,-0.07200057592818117,0.05759596848375437,-0.01436486821463332,0.1727706275233153,-0.15836256449226,-0.08483400000000008,-0.10383900000000001,-0.909281,-0.02010500000000004,0.15086100000000013,-0.907289,0.06472900000000004,0.25470000000000015,0.0019919999999999938,0.9955776849077138,0.9741038569724576,double,-0.907289
3,0.025,stand,-0.007560302412114037,-0.010800432017271508,0.0,-0.07134751001154159,0.09414313327476644,0.00733906229013027,-0.001080043201719157,-0.0006000240009639692,-0.00036001440057638307,-0.00216008640346496,0.0007200288011461046,-0.0016800672026881223,-0.9936691247708781,0.5902208668355734,-0.7631694756626799,0.1871769608990124,-0.10080460848514906,-0.057602880276544054,0.02876774413571216,-0.10078560048505784,0.057573504276303096,-0.08477999999999986,-0.10375400000000012,-0.909284,-0.020059999999999967,0.150957,-0.907303,0.06471999999999989,0.25471100000000013,0.0019810000000000105,0.9978551531471824,0.9754738809062069,double,-0.907303
4,0.033333,stand,-0.011520460818417613,-0.007680307212296173,-0.00012000480019545849,-0.06908826982592718,0.10115834215425079,0.01520483537527203,-0.0010800432017458032,0.0,0.0019200768030723776,-0.0028801152046110646,0.001080043201719157,-0.002640105604224311,-0.47523801827716017,0.374429953795192,-0.0144011520695378,-3.1976743013010615e-12,0.07200576034609016,0.27362188931342385,-0.08640691241402909,0.04320345620701456,-0.11520921655300477,-0.08469300000000013,-0.10369000000000006,-0.9092669999999999,-0.019988000000000117,0.15103,-0.907324,0.06470500000000001,0.25472000000000006,0.001942999999999917,0.9963283411834953,0.9738139914580368,double,-0.907324
5,0.041667,stand,-0.020038396928249127,-0.005279577633781255,0.002399808015361171,-0.08966004484479348,0.025100409696468096,0.027470316796617163,0.00023998080154277791,0.0008399328053864011,-0.0009599232061436358,-0.0027597792176486946,-0.00023998080154277791,-0.0015598752099830959,-1.0220705675343789,0.28806450426144925,0.3023533495988276,0.15839020917789548,0.1007838739364532,-0.3455723553174962,0.0144391633024202,-0.1583902091746982,0.12961727792671165,-0.08452400000000004,-0.10363900000000004,-0.909295,-0.019843999999999973,0.15107199999999987,-0.907357,0.06468000000000007,0.2547109999999999,0.0019379999999999953,0.9978368422873247,0.975321367370833,double,-0.907357
6,0.05,stand,-0.029521180847230103,-0.008040321612869225,-0.00924036961478384,-0.07525559009816532,-0.027855682311731453,0.02575575894080705,-0.0006000240009639692,0.0015600624025009907,0.0001200048001921277,-0.003240129605184117,0.0003600144005730523,-0.0007200288011527661,-1.1379795894612956,-0.33130252959174017,-1.3968771907050295,-0.10080460848514906,0.08641900841408733,0.1295965446220765,-0.0576443522783418,0.07200230434607346,0.10078560048365891,-0.08428300000000011,-0.10355899999999996,-0.909217,-0.019625000000000004,0.1511419999999999,-0.907286,0.0646580000000001,0.25470099999999984,0.001931000000000016,0.9972070402728472,0.9751256063269562,double,-0.907286
7,0.058333,stand,-0.027601104044156062,-0.0028801152046110646,-0.007080283211332203,-0.01970475505248372,0.007946206745181296,0.04419198330885657,0.0009600384015370216,0.0020400816032561785,-0.00036001440057638307,-0.0020400816032561785,0.0028801152046110646,-0.002400096003840056,0.23041843310620916,0.6192495389725381,0.25922073724368616,0.1872149768991949,0.057604608274953534,-0.05760460827655236,0.1440115206921803,0.3024241934522996,-0.20161612896763345,-0.08404500000000015,-0.103518,-0.909161,-0.019411999999999985,0.15118999999999994,-0.907247,0.06463300000000016,0.25470799999999993,0.0019139999999999713,0.9961945882654536,0.9737463477564019,double,-0.907247
8,0.066667,stand,-0.02711783057356125,-0.0031197504199761833,-0.006359491240697112,-0.04869192974554963,0.06367240001704774,0.0667325634179867,0.00047996160308555583,0.0021598272138317145,0.00011999040076805855,-0.00251979841613256,0.0011999040076872464,-0.0017998560115183805,0.057988177417184116,-0.02875392552977186,0.08648811742681682,-0.057604607445580235,0.014368323803160062,0.05759596848385428,-0.057561412632155196,-0.20160921489366668,0.07202303723562219,-0.08381499999999997,-0.10347399999999984,-0.909107,-0.019206999999999974,0.15122600000000008,-0.907209,0.064608,0.2546999999999999,0.0018979999999999553,0.996307058372787,0.975485101790606,double,-0.907209
9,0.075,jog,-0.02592103684147296,-0.009240369614770524,-0.001320052802110075,-0.06011935761334871,0.26903317974778707,0.1262801423875084,0.00036001440057305256,0.001560062402500992,0.0006000240009598062,-0.002880115204611067,0.001560062402500992,-0.0018000720028802516,0.14362099269030262,-0.7345036835226625,0.604756802902561,-0.014394240071103247,-0.0719746563459406,0.05760633627646083,-0.04323974420718918,0.0432207362070978,-2.5920000224539902e-05,-0.083596,-0.10338399999999992,-0.909091,-0.019015000000000004,0.151316,-0.907213,0.064581,0.2546999999999999,0.0018779999999999353,0.9971503246432245,0.974990786230483,double,-0.907213
10,0.083333,jog,-0.033841353654159995,-0.0019200768030740415,-0.0033601344053795727,-0.04702266750322008,0.009953969757779454,0.10502334947998435,0.00012000480018213519,0.002760110404402281,-0.0015600624024959932,-0.0028801152046110624,0.0024000960038292286,-0.0024000960038400537,-0.950476036563906,0.8784702762146258,-0.24481958517574656,-0.028802304139075627,0.1440115206889821,-0.2592207372441855,5.724816463381994e-16,0.10080806448196758,-0.07200576034559002,-0.08331299999999997,-0.10334500000000002,-0.909076,-0.018756999999999913,0.15135199999999993,-0.907205,0.06455600000000006,0.25469699999999995,0.001870999999999956,0.9947120668561342,0.9738708084359476,double,-0.907205
